epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1549,1.27939,2.6052,2.06686,0.74604,0.88339,0.91651,0.63449,1.03651,0.9274,1.7231,0.00330808,0.00330808,0.00330808
2,54.4819,0.86916,0.68681,1.43632,0.84307,0.90693,0.91783,0.7317,0.765,0.75623,1.56462,0.0066195,0.0066195,0.0066195
3,79.5144,0.83129,0.65194,1.43391,0.56341,0.7605,0.67449,0.49335,0.88613,6.03341,1.79476,0.00990891,0.00990891,0.00990891
4,103.653,0.78787,0.61981,1.39422,0.79039,0.63358,0.78774,0.60688,0.82264,1.51593,1.67819,0.009901,0.009901,0.009901
5,127.62,0.73627,0.55721,1.37817,0.9183,0.84703,0.93195,0.72308,0.76933,0.82112,1.55951,0.009868,0.009868,0.009868
6,151.841,0.71033,0.53051,1.34299,0.82054,0.76841,0.8452,0.66908,0.76174,0.94801,1.54925,0.009835,0.009835,0.009835
7,175.832,0.675,0.50545,1.31554,0.89368,0.92031,0.94985,0.77984,0.65115,0.50676,1.50877,0.009802,0.009802,0.009802
8,200.687,0.65349,0.48373,1.30647,0.87915,0.85555,0.88368,0.73365,0.61927,0.66158,1.40445,0.009769,0.009769,0.009769
9,225.559,0.63456,0.46843,1.27356,0.91498,0.91522,0.96055,0.78576,0.65624,0.49567,1.47403,0.009736,0.009736,0.009736
10,250.735,0.62439,0.46509,1.27262,0.88484,0.82146,0.87794,0.73708,0.59998,0.67788,1.435,0.009703,0.009703,0.009703
11,275.013,0.60851,0.44819,1.24924,0.91409,0.89592,0.93653,0.7843,0.57953,0.47929,1.35824,0.00967,0.00967,0.00967
12,299.479,0.60235,0.45451,1.25658,0.78484,0.82493,0.86179,0.71591,0.62438,0.69306,1.45494,0.009637,0.009637,0.009637
13,323.778,0.58969,0.43646,1.22789,0.84927,0.86908,0.9154,0.77656,0.58281,0.5635,1.39469,0.009604,0.009604,0.009604
14,347.832,0.57101,0.41807,1.21109,0.9017,0.87519,0.91459,0.78129,0.55917,0.50693,1.44291,0.009571,0.009571,0.009571
15,371.887,0.57127,0.4165,1.21819,0.8799,0.8573,0.88021,0.73018,0.5819,0.60777,1.37592,0.009538,0.009538,0.009538
16,395.881,0.56974,0.41482,1.2174,0.81374,0.80264,0.85461,0.72725,0.5838,0.71327,1.42967,0.009505,0.009505,0.009505
17,419.803,0.56223,0.4102,1.21463,0.8501,0.85619,0.89405,0.76568,0.55716,0.54083,1.39174,0.009472,0.009472,0.009472
18,443.615,0.55566,0.4033,1.20791,0.82685,0.80282,0.86107,0.73113,0.57092,0.66643,1.41531,0.009439,0.009439,0.009439
19,467.462,0.55156,0.39898,1.20299,0.8315,0.79917,0.84129,0.72817,0.55387,0.65597,1.39047,0.009406,0.009406,0.009406
20,491.369,0.54397,0.39769,1.19599,0.92312,0.88779,0.93288,0.79346,0.54519,0.46294,1.37558,0.009373,0.009373,0.009373
21,515.736,0.54344,0.39271,1.21101,0.88347,0.85427,0.8891,0.7717,0.52476,0.60847,1.33763,0.00934,0.00934,0.00934
22,539.845,0.53642,0.39003,1.19193,0.82949,0.84559,0.86159,0.73111,0.55105,0.62845,1.37754,0.009307,0.009307,0.009307
23,563.663,0.53803,0.38793,1.1911,0.88702,0.86629,0.87182,0.74799,0.53432,0.58929,1.34386,0.009274,0.009274,0.009274
24,587.549,0.52566,0.37684,1.17362,0.92484,0.87836,0.92593,0.79656,0.52586,0.43775,1.34291,0.009241,0.009241,0.009241
25,611.29,0.52222,0.37604,1.16704,0.87685,0.83877,0.88322,0.74934,0.54792,0.58353,1.40585,0.009208,0.009208,0.009208
26,634.973,0.51672,0.37606,1.17173,0.88266,0.78549,0.87277,0.74211,0.54867,0.69073,1.40401,0.009175,0.009175,0.009175
27,658.984,0.5137,0.37125,1.17347,0.86832,0.84443,0.89578,0.76064,0.54788,0.53254,1.38907,0.009142,0.009142,0.009142
28,682.745,0.50895,0.3712,1.16233,0.8581,0.88208,0.87297,0.75184,0.52016,0.60299,1.36958,0.009109,0.009109,0.009109
29,706.574,0.50574,0.3708,1.15591,0.90339,0.84394,0.89607,0.7551,0.56302,0.52408,1.46702,0.009076,0.009076,0.009076
30,730.807,0.50793,0.37067,1.16782,0.85439,0.86781,0.88067,0.76344,0.50376,0.54649,1.36165,0.009043,0.009043,0.009043
31,754.998,0.50274,0.36268,1.16121,0.87,0.80308,0.84758,0.73242,0.51486,0.64067,1.31811,0.00901,0.00901,0.00901
32,779.068,0.49843,0.36125,1.16565,0.81679,0.81497,0.85719,0.73582,0.53529,0.65295,1.36414,0.008977,0.008977,0.008977
33,802.861,0.50768,0.36665,1.1628,0.85693,0.80544,0.85496,0.73698,0.51895,0.62502,1.36534,0.008944,0.008944,0.008944
34,827.025,0.50977,0.36278,1.16411,0.83687,0.82888,0.85415,0.74439,0.51366,0.60129,1.37876,0.008911,0.008911,0.008911
35,850.94,0.49421,0.35765,1.15322,0.8849,0.87061,0.8881,0.76379,0.50614,0.55158,1.31852,0.008878,0.008878,0.008878
36,874.603,0.49024,0.35645,1.14706,0.88229,0.84217,0.89202,0.77276,0.51139,0.51225,1.38645,0.008845,0.008845,0.008845
37,898.309,0.49421,0.35347,1.15167,0.8572,0.82269,0.87779,0.7547,0.52063,0.55118,1.3876,0.008812,0.008812,0.008812
38,922.055,0.48609,0.35442,1.15308,0.81886,0.83159,0.84283,0.7458,0.49173,0.69102,1.34029,0.008779,0.008779,0.008779
39,946.263,0.49981,0.36492,1.15959,0.87664,0.83815,0.89688,0.78082,0.50668,0.51626,1.36078,0.008746,0.008746,0.008746
40,970.141,0.48906,0.35788,1.14348,0.88617,0.85336,0.893,0.76826,0.50345,0.48171,1.3949,0.008713,0.008713,0.008713
41,993.876,0.48107,0.3488,1.14428,0.89087,0.85676,0.9126,0.79435,0.48295,0.43646,1.32733,0.00868,0.00868,0.00868
42,1017.82,0.47149,0.34444,1.13681,0.79306,0.81305,0.84766,0.72765,0.53889,0.63948,1.44138,0.008647,0.008647,0.008647
43,1041.87,0.47754,0.34965,1.13256,0.81124,0.87335,0.87633,0.75296,0.49213,0.53286,1.36566,0.008614,0.008614,0.008614
44,1065.62,0.48058,0.34643,1.13318,0.86686,0.85024,0.87862,0.75972,0.49714,0.54753,1.35727,0.008581,0.008581,0.008581
45,1089.52,0.4744,0.34004,1.13769,0.86397,0.82108,0.87751,0.75817,0.50912,0.59048,1.32424,0.008548,0.008548,0.008548
46,1113.43,0.47338,0.34531,1.14266,0.87655,0.80858,0.87091,0.75815,0.49126,0.58917,1.34045,0.008515,0.008515,0.008515
47,1137.08,0.47936,0.34841,1.12578,0.85764,0.85825,0.90352,0.77484,0.51126,0.47507,1.34807,0.008482,0.008482,0.008482
48,1161.1,0.46533,0.33498,1.12781,0.85861,0.83641,0.88642,0.76045,0.5006,0.51872,1.3536,0.008449,0.008449,0.008449
49,1184.9,0.47779,0.34006,1.14174,0.87579,0.83432,0.87048,0.75811,0.4865,0.5733,1.33762,0.008416,0.008416,0.008416
50,1208.84,0.46786,0.3385,1.1205,0.88886,0.82739,0.88077,0.76014,0.48128,0.52872,1.30738,0.008383,0.008383,0.008383
51,1232.45,0.46834,0.34176,1.13497,0.8533,0.86463,0.87662,0.76648,0.49114,0.55386,1.36856,0.00835,0.00835,0.00835
52,1256.27,0.4681,0.33884,1.12989,0.89881,0.86891,0.88954,0.77273,0.47978,0.52663,1.32113,0.008317,0.008317,0.008317
53,1280.05,0.45949,0.3292,1.11835,0.8763,0.86077,0.89968,0.77626,0.52063,0.53024,1.3648,0.008284,0.008284,0.008284
54,1304.12,0.46263,0.3339,1.12226,0.87144,0.87191,0.88545,0.77027,0.50432,0.55701,1.35093,0.008251,0.008251,0.008251
55,1328.14,0.46101,0.32997,1.12972,0.83566,0.84471,0.87765,0.75656,0.50375,0.52438,1.34929,0.008218,0.008218,0.008218
56,1352.17,0.459,0.33265,1.12565,0.86278,0.84873,0.86401,0.75721,0.47697,0.6148,1.31494,0.008185,0.008185,0.008185
57,1376.1,0.45764,0.33051,1.12068,0.85187,0.85621,0.87707,0.76932,0.47889,0.61506,1.31263,0.008152,0.008152,0.008152
58,1399.84,0.45039,0.32812,1.11165,0.87532,0.79927,0.88958,0.76924,0.47994,0.53452,1.35231,0.008119,0.008119,0.008119
59,1423.72,0.45543,0.328,1.12803,0.88787,0.82571,0.90143,0.78779,0.46676,0.50144,1.30658,0.008086,0.008086,0.008086
60,1447.78,0.45607,0.32974,1.14187,0.85606,0.88806,0.90957,0.78623,0.49193,0.48733,1.3518,0.008053,0.008053,0.008053
61,1471.81,0.44652,0.32147,1.12323,0.89135,0.74704,0.86479,0.75874,0.47497,0.59326,1.31224,0.00802,0.00802,0.00802
62,1495.61,0.44977,0.32653,1.11525,0.90288,0.85413,0.9005,0.78138,0.47575,0.51605,1.32453,0.007987,0.007987,0.007987
63,1519.49,0.44539,0.32151,1.11236,0.87862,0.81272,0.88143,0.77599,0.46407,0.57739,1.31361,0.007954,0.007954,0.007954
64,1543.38,0.44538,0.32436,1.12049,0.88653,0.82344,0.89921,0.7785,0.47679,0.49695,1.35586,0.007921,0.007921,0.007921
65,1567.24,0.44675,0.32539,1.11464,0.90232,0.84227,0.8917,0.78053,0.46136,0.49735,1.29569,0.007888,0.007888,0.007888
66,1591.1,0.43718,0.31913,1.1047,0.90414,0.8472,0.90767,0.79507,0.45988,0.4591,1.31235,0.007855,0.007855,0.007855
67,1614.73,0.44366,0.32302,1.11792,0.8752,0.87669,0.90627,0.79344,0.46656,0.44074,1.30671,0.007822,0.007822,0.007822
68,1638.71,0.44195,0.32202,1.11,0.88303,0.86011,0.91325,0.79069,0.49054,0.47001,1.3571,0.007789,0.007789,0.007789
69,1662.69,0.43549,0.31853,1.11352,0.81439,0.81939,0.87622,0.77298,0.46254,0.62197,1.29378,0.007756,0.007756,0.007756
70,1686.84,0.44228,0.32177,1.11612,0.88875,0.86696,0.90435,0.79699,0.46844,0.50466,1.33633,0.007723,0.007723,0.007723
71,1710.84,0.43843,0.31595,1.11056,0.87924,0.81603,0.88248,0.77643,0.46325,0.54594,1.28952,0.00769,0.00769,0.00769
72,1734.73,0.43712,0.31839,1.1083,0.93172,0.81035,0.90175,0.78819,0.45489,0.48742,1.30131,0.007657,0.007657,0.007657
73,1758.58,0.44057,0.32005,1.11805,0.92755,0.81986,0.92285,0.8019,0.46895,0.41638,1.33513,0.007624,0.007624,0.007624
74,1782.5,0.4305,0.31111,1.10428,0.91012,0.83778,0.91334,0.79521,0.46928,0.48035,1.34576,0.007591,0.007591,0.007591
75,1806.24,0.43755,0.32147,1.12652,0.86199,0.86158,0.88978,0.77438,0.46977,0.51725,1.3516,0.007558,0.007558,0.007558
76,1830.43,0.43207,0.31225,1.10584,0.91639,0.83324,0.91084,0.78498,0.47019,0.4795,1.32122,0.007525,0.007525,0.007525
77,1854.44,0.43694,0.31336,1.11163,0.85669,0.82333,0.88147,0.77586,0.45487,0.54606,1.3099,0.007492,0.007492,0.007492
78,1878.27,0.43981,0.31995,1.11831,0.88256,0.88653,0.89749,0.78082,0.4617,0.49476,1.30636,0.007459,0.007459,0.007459
79,1902.19,0.4187,0.30987,1.09167,0.87173,0.86692,0.91926,0.80553,0.45426,0.42332,1.3149,0.007426,0.007426,0.007426
80,1926.38,0.43227,0.31514,1.10921,0.8518,0.82317,0.8718,0.76467,0.4597,0.56135,1.31339,0.007393,0.007393,0.007393
81,1950.21,0.44085,0.32055,1.10548,0.83197,0.82305,0.86364,0.75697,0.45693,0.56181,1.32559,0.00736,0.00736,0.00736
82,1974.02,0.4316,0.31415,1.11011,0.88884,0.83407,0.88536,0.7753,0.46416,0.54921,1.31438,0.007327,0.007327,0.007327
83,1997.99,0.42645,0.31057,1.10289,0.92293,0.83225,0.91246,0.79339,0.46355,0.46062,1.31965,0.007294,0.007294,0.007294
84,2022.05,0.43003,0.31223,1.11087,0.89107,0.87034,0.90608,0.79498,0.45331,0.45927,1.33924,0.007261,0.007261,0.007261
85,2046.34,0.41693,0.30871,1.0911,0.90522,0.80873,0.88791,0.77634,0.46132,0.54496,1.35629,0.007228,0.007228,0.007228
86,2070.61,0.42164,0.30603,1.11597,0.86658,0.78108,0.85998,0.76831,0.44605,0.65531,1.31637,0.007195,0.007195,0.007195
87,2094.5,0.42489,0.3131,1.09757,0.87999,0.8314,0.88672,0.77915,0.45685,0.51379,1.33774,0.007162,0.007162,0.007162
88,2118.21,0.41289,0.30036,1.09302,0.90152,0.8203,0.91401,0.80109,0.46179,0.46805,1.34759,0.007129,0.007129,0.007129
89,2141.97,0.41904,0.30545,1.10704,0.88481,0.82585,0.89735,0.78794,0.46738,0.48855,1.34441,0.007096,0.007096,0.007096
90,2165.68,0.41842,0.30497,1.10287,0.86445,0.83291,0.90062,0.80492,0.43892,0.47782,1.26652,0.007063,0.007063,0.007063
91,2190,0.42032,0.30332,1.10425,0.87525,0.82752,0.90851,0.80392,0.44987,0.44494,1.30498,0.00703,0.00703,0.00703
92,2213.86,0.40793,0.30217,1.09275,0.88739,0.80608,0.89347,0.78925,0.45712,0.47434,1.33763,0.006997,0.006997,0.006997
93,2237.55,0.42442,0.30814,1.10864,0.89941,0.82777,0.89848,0.78903,0.45498,0.48996,1.32627,0.006964,0.006964,0.006964
94,2261.5,0.41887,0.31214,1.09678,0.86787,0.85073,0.88829,0.7835,0.4543,0.48558,1.32994,0.006931,0.006931,0.006931
95,2285.21,0.41542,0.30938,1.11034,0.87212,0.81897,0.86586,0.76,0.45826,0.56423,1.34229,0.006898,0.006898,0.006898
96,2309.5,0.42087,0.30577,1.10551,0.88702,0.82156,0.88119,0.77377,0.45046,0.563,1.32735,0.006865,0.006865,0.006865
97,2333.37,0.4123,0.30109,1.10523,0.86674,0.85827,0.90133,0.79067,0.45243,0.48601,1.33372,0.006832,0.006832,0.006832
98,2357.35,0.41204,0.30488,1.09552,0.88149,0.90612,0.93658,0.8227,0.44928,0.38466,1.32129,0.006799,0.006799,0.006799
99,2381.14,0.41385,0.30087,1.10255,0.84649,0.86591,0.90331,0.79027,0.46,0.48495,1.34916,0.006766,0.006766,0.006766
100,2404.97,0.40283,0.29899,1.09667,0.83794,0.89009,0.91567,0.80286,0.45563,0.46074,1.32977,0.006733,0.006733,0.006733
101,2429.27,0.41523,0.30719,1.10457,0.86158,0.8559,0.90865,0.79445,0.45225,0.47132,1.34086,0.0067,0.0067,0.0067
102,2454,0.40719,0.30166,1.09893,0.88385,0.80123,0.89232,0.78334,0.45838,0.52036,1.32493,0.006667,0.006667,0.006667
103,2477.99,0.40429,0.29696,1.09015,0.79414,0.85429,0.8851,0.78138,0.45318,0.53089,1.33247,0.006634,0.006634,0.006634
104,2501.94,0.40273,0.29555,1.0969,0.87484,0.80323,0.89219,0.7875,0.45464,0.51273,1.33885,0.006601,0.006601,0.006601
