epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7768,1.41146,3.1641,2.05996,0.74588,0.83706,0.8857,0.63962,0.93086,1.04469,1.52452,0.00330808,0.00330808,0.00330808
2,58.9008,0.89106,0.72636,1.39421,0.93188,0.81482,0.9373,0.73578,0.77552,0.80443,1.41917,0.0066195,0.0066195,0.0066195
3,84.4726,0.84589,0.68517,1.38707,0.88019,0.92898,0.9684,0.75865,0.78244,1.1982,1.45619,0.00990891,0.00990891,0.00990891
4,109.525,0.80157,0.62727,1.37829,0.81039,0.83496,0.90555,0.68392,0.81642,1.04756,1.56847,0.009901,0.009901,0.009901
5,135.358,0.7615,0.57871,1.36837,0.73061,0.78141,0.84347,0.68801,0.67847,1.67359,1.42858,0.009868,0.009868,0.009868
6,160.359,0.72134,0.54599,1.33936,0.923,0.91422,0.96389,0.79689,0.67115,0.82007,1.37146,0.009835,0.009835,0.009835
7,185.59,0.69577,0.51895,1.32473,0.9035,0.92113,0.94266,0.79432,0.59783,0.58503,1.40287,0.009802,0.009802,0.009802
8,211.276,0.67611,0.50455,1.31481,0.88792,0.91306,0.97081,0.82998,0.58002,0.71467,1.34574,0.009769,0.009769,0.009769
9,235.968,0.65566,0.49065,1.28612,0.94604,0.95358,0.98695,0.84478,0.56234,0.4285,1.29218,0.009736,0.009736,0.009736
10,260.985,0.64112,0.48144,1.2831,0.86923,0.88085,0.93624,0.803,0.54219,0.54336,1.31085,0.009703,0.009703,0.009703
11,285.979,0.63484,0.47108,1.27436,0.91295,0.96819,0.96749,0.83193,0.54794,0.40457,1.28686,0.00967,0.00967,0.00967
12,311.239,0.62979,0.46018,1.26733,0.88464,0.94651,0.97289,0.84645,0.53203,0.46104,1.26416,0.009637,0.009637,0.009637
13,336.351,0.61137,0.44733,1.2368,0.88473,0.86355,0.93278,0.81735,0.52191,0.53282,1.26806,0.009604,0.009604,0.009604
14,360.815,0.59582,0.4402,1.22073,0.90652,0.93139,0.95962,0.84186,0.50906,0.4416,1.26083,0.009571,0.009571,0.009571
15,385.616,0.59404,0.43883,1.22974,0.90774,0.9183,0.95678,0.83977,0.50491,0.44431,1.2614,0.009538,0.009538,0.009538
16,410.361,0.59011,0.43012,1.23599,0.93791,0.94108,0.97015,0.86263,0.5001,0.4116,1.26863,0.009505,0.009505,0.009505
17,436.034,0.5893,0.42907,1.2244,0.92715,0.94921,0.97598,0.85867,0.50549,0.43016,1.21713,0.009472,0.009472,0.009472
18,460.771,0.58044,0.42369,1.21796,0.97422,0.95718,0.98469,0.87506,0.5072,0.38097,1.24352,0.009439,0.009439,0.009439
19,486.442,0.57618,0.42216,1.21514,0.94881,0.97138,0.98251,0.86999,0.4919,0.37126,1.25138,0.009406,0.009406,0.009406
20,510.665,0.56704,0.41951,1.20989,0.91535,0.95837,0.9789,0.87738,0.46537,0.38549,1.22984,0.009373,0.009373,0.009373
21,535.204,0.56497,0.41228,1.21339,0.89802,0.91608,0.96434,0.86102,0.4587,0.4185,1.23073,0.00934,0.00934,0.00934
22,559.927,0.56232,0.40698,1.20066,0.96209,0.95291,0.98782,0.8777,0.47823,0.3545,1.20952,0.009307,0.009307,0.009307
23,584.627,0.55485,0.40091,1.20138,0.9445,0.93715,0.97743,0.87244,0.47248,0.35705,1.19676,0.009274,0.009274,0.009274
24,608.933,0.54804,0.40056,1.19368,0.9687,0.94714,0.98837,0.88964,0.4606,0.35489,1.20595,0.009241,0.009241,0.009241
25,633.15,0.54818,0.40041,1.18916,0.9206,0.9272,0.95529,0.85579,0.45663,0.38686,1.23472,0.009208,0.009208,0.009208
26,657.89,0.54397,0.39299,1.18658,0.97856,0.96733,0.9928,0.88641,0.46779,0.31127,1.23638,0.009175,0.009175,0.009175
27,682.79,0.54287,0.38704,1.18791,0.97199,0.98082,0.98564,0.88788,0.44537,0.33716,1.18627,0.009142,0.009142,0.009142
28,707.225,0.5307,0.38627,1.17722,0.8975,0.92683,0.93231,0.83727,0.45897,0.392,1.20651,0.009109,0.009109,0.009109
29,731.909,0.52903,0.38615,1.17308,0.95003,0.95095,0.97782,0.88396,0.44238,0.36648,1.18708,0.009076,0.009076,0.009076
30,757.326,0.53608,0.39074,1.19014,0.9705,0.97109,0.97481,0.8818,0.44189,0.33033,1.19082,0.009043,0.009043,0.009043
31,781.918,0.52069,0.37795,1.17048,0.9195,0.94238,0.97613,0.87687,0.45383,0.39445,1.19169,0.00901,0.00901,0.00901
32,806.631,0.52569,0.38301,1.17885,0.97006,0.94669,0.99077,0.89349,0.44957,0.3382,1.16119,0.008977,0.008977,0.008977
33,831.345,0.53021,0.3853,1.16893,0.9561,0.9681,0.98372,0.88796,0.45117,0.33865,1.18121,0.008944,0.008944,0.008944
34,856.61,0.53324,0.37605,1.18116,0.93462,0.94086,0.96954,0.87976,0.42683,0.36297,1.1902,0.008911,0.008911,0.008911
35,880.877,0.51804,0.37838,1.17615,0.92308,0.92526,0.9666,0.87769,0.43286,0.4007,1.17001,0.008878,0.008878,0.008878
36,906.535,0.5108,0.37475,1.16214,0.94642,0.96398,0.95831,0.86745,0.44047,0.33988,1.16554,0.008845,0.008845,0.008845
37,930.956,0.5159,0.36898,1.16543,0.97441,0.98043,0.98683,0.89203,0.43577,0.31537,1.19398,0.008812,0.008812,0.008812
38,955.271,0.50939,0.3682,1.16552,0.96831,0.96354,0.9899,0.89639,0.44064,0.33357,1.19444,0.008779,0.008779,0.008779
39,980.432,0.51676,0.37836,1.16648,0.92744,0.96354,0.96783,0.87612,0.43721,0.33789,1.17717,0.008746,0.008746,0.008746
40,1005.87,0.51247,0.37089,1.16327,0.93339,0.93763,0.96432,0.871,0.43119,0.36617,1.19169,0.008713,0.008713,0.008713
41,1030.67,0.50363,0.36518,1.15513,0.93723,0.93135,0.98095,0.89334,0.42975,0.36118,1.19357,0.00868,0.00868,0.00868
42,1055.37,0.49646,0.36025,1.14931,0.97687,0.97519,0.98654,0.89368,0.43639,0.30652,1.17951,0.008647,0.008647,0.008647
43,1079.83,0.50524,0.36924,1.14656,0.95895,0.96882,0.97866,0.8911,0.42105,0.32068,1.17942,0.008614,0.008614,0.008614
44,1103.87,0.50586,0.36423,1.15183,0.93086,0.95921,0.97896,0.88738,0.43606,0.32892,1.20144,0.008581,0.008581,0.008581
45,1128.46,0.49668,0.36067,1.14325,0.93471,0.93765,0.97755,0.88427,0.44028,0.37034,1.18214,0.008548,0.008548,0.008548
46,1153.22,0.50105,0.36063,1.15279,0.95411,0.94948,0.98398,0.88969,0.4313,0.36419,1.1574,0.008515,0.008515,0.008515
47,1177.73,0.50121,0.35959,1.15098,0.95544,0.96753,0.98232,0.89344,0.43136,0.32391,1.19504,0.008482,0.008482,0.008482
48,1201.89,0.49122,0.35125,1.14853,0.96856,0.97275,0.98766,0.90131,0.42146,0.30444,1.1661,0.008449,0.008449,0.008449
49,1227.31,0.50023,0.36057,1.15018,0.97589,0.97237,0.99029,0.90138,0.42311,0.30623,1.17058,0.008416,0.008416,0.008416
50,1252.12,0.48914,0.35077,1.132,0.96467,0.94942,0.97966,0.89804,0.40054,0.31229,1.14867,0.008383,0.008383,0.008383
51,1277.24,0.49291,0.35982,1.14933,0.98254,0.9612,0.98872,0.90025,0.41124,0.313,1.18216,0.00835,0.00835,0.00835
52,1301.57,0.49064,0.35837,1.14981,0.97155,0.95116,0.98227,0.89418,0.42234,0.35982,1.19984,0.008317,0.008317,0.008317
53,1326.02,0.48247,0.35175,1.13389,0.94958,0.93738,0.98761,0.89793,0.4157,0.32526,1.19159,0.008284,0.008284,0.008284
54,1350.48,0.48932,0.35144,1.13742,0.95623,0.95546,0.97526,0.88686,0.41113,0.34479,1.16453,0.008251,0.008251,0.008251
55,1374.9,0.4892,0.34952,1.14257,0.9803,0.98015,0.98553,0.89678,0.40718,0.29695,1.1687,0.008218,0.008218,0.008218
56,1399.34,0.48475,0.34854,1.14824,0.96386,0.96508,0.98583,0.89789,0.40852,0.30007,1.14711,0.008185,0.008185,0.008185
57,1423.61,0.48079,0.3459,1.1421,0.97096,0.96867,0.98352,0.8903,0.42,0.31977,1.14854,0.008152,0.008152,0.008152
58,1448.87,0.47631,0.34735,1.1336,0.97513,0.96587,0.9861,0.89952,0.40053,0.3281,1.15258,0.008119,0.008119,0.008119
59,1473.89,0.47834,0.35181,1.14135,0.9832,0.9755,0.98698,0.90276,0.40033,0.30835,1.17249,0.008086,0.008086,0.008086
60,1498.59,0.4775,0.35049,1.15441,0.98183,0.97727,0.99096,0.9014,0.4116,0.31073,1.16476,0.008053,0.008053,0.008053
61,1523.23,0.47196,0.33967,1.13184,0.98076,0.97857,0.98955,0.90903,0.38858,0.2858,1.13282,0.00802,0.00802,0.00802
62,1547.95,0.47563,0.34606,1.12975,0.97772,0.97185,0.99013,0.90028,0.41439,0.3061,1.15688,0.007987,0.007987,0.007987
63,1573.2,0.46928,0.33939,1.12949,0.97635,0.97399,0.98818,0.9052,0.39319,0.2926,1.15013,0.007954,0.007954,0.007954
64,1598.93,0.47099,0.34326,1.14128,0.92565,0.95051,0.9884,0.90265,0.40244,0.41623,1.15932,0.007921,0.007921,0.007921
65,1624.33,0.46965,0.34386,1.1313,0.87696,0.97166,0.9807,0.90127,0.38479,0.59877,1.13812,0.007888,0.007888,0.007888
66,1648.92,0.46408,0.34135,1.12185,0.97566,0.97267,0.99052,0.90359,0.39784,0.32643,1.14891,0.007855,0.007855,0.007855
67,1673.8,0.46621,0.33631,1.12627,0.96566,0.96264,0.98476,0.89793,0.40198,0.29914,1.16496,0.007822,0.007822,0.007822
68,1698.65,0.46286,0.33343,1.12463,0.97319,0.97708,0.98991,0.91096,0.38827,0.29049,1.15658,0.007789,0.007789,0.007789
69,1723.95,0.45932,0.33497,1.13204,0.96134,0.97456,0.98641,0.9002,0.40103,0.29668,1.16414,0.007756,0.007756,0.007756
70,1749.13,0.46869,0.34026,1.13405,0.97809,0.95545,0.98764,0.90759,0.38888,0.3232,1.13719,0.007723,0.007723,0.007723
71,1774.07,0.46533,0.33595,1.12867,0.9771,0.97949,0.9866,0.90151,0.39314,0.29272,1.14259,0.00769,0.00769,0.00769
72,1798.49,0.4623,0.33898,1.11591,0.91447,0.90889,0.96487,0.88716,0.39111,0.3644,1.16884,0.007657,0.007657,0.007657
73,1824.07,0.45778,0.33652,1.13152,0.9756,0.97878,0.98714,0.90401,0.39509,0.29004,1.1524,0.007624,0.007624,0.007624
74,1849.38,0.45317,0.32741,1.11134,0.98023,0.98213,0.98663,0.90144,0.39797,0.28864,1.1923,0.007591,0.007591,0.007591
75,1874.21,0.46135,0.3357,1.14108,0.98618,0.98005,0.98624,0.90279,0.38897,0.28505,1.15722,0.007558,0.007558,0.007558
76,1898.96,0.45171,0.32863,1.11564,0.97591,0.98304,0.9887,0.90424,0.39022,0.2758,1.15116,0.007525,0.007525,0.007525
77,1923.74,0.46054,0.33071,1.11947,0.97802,0.98613,0.98603,0.90389,0.38446,0.28235,1.13909,0.007492,0.007492,0.007492
78,1948.74,0.4624,0.33411,1.13003,0.97367,0.97046,0.98416,0.90153,0.39201,0.29792,1.15752,0.007459,0.007459,0.007459
79,1973.58,0.44661,0.32453,1.11765,0.97598,0.95842,0.98299,0.90136,0.39106,0.29758,1.15646,0.007426,0.007426,0.007426
80,1998.18,0.45549,0.3341,1.12186,0.97818,0.98251,0.98944,0.90939,0.3861,0.27165,1.14438,0.007393,0.007393,0.007393
81,2023.3,0.45856,0.32878,1.12085,0.97239,0.96673,0.98912,0.90811,0.38502,0.29393,1.12845,0.00736,0.00736,0.00736
82,2048.1,0.45321,0.33137,1.12187,0.97073,0.96799,0.98625,0.90334,0.38393,0.29229,1.13105,0.007327,0.007327,0.007327
83,2073.01,0.45018,0.32663,1.11876,0.95618,0.96729,0.98436,0.90166,0.38624,0.30335,1.1424,0.007294,0.007294,0.007294
84,2098.39,0.4529,0.32721,1.1267,0.97285,0.96628,0.98557,0.90497,0.38408,0.29269,1.14614,0.007261,0.007261,0.007261
85,2123.11,0.43948,0.326,1.11107,0.981,0.97416,0.98934,0.9074,0.37966,0.27388,1.1444,0.007228,0.007228,0.007228
86,2148.01,0.44041,0.32197,1.12471,0.95673,0.95483,0.98062,0.90255,0.37719,0.29787,1.14619,0.007195,0.007195,0.007195
87,2172.86,0.44551,0.3277,1.11434,0.95731,0.9713,0.98595,0.90634,0.37989,0.28007,1.14583,0.007162,0.007162,0.007162
88,2197.45,0.43747,0.31944,1.10747,0.97041,0.97089,0.98785,0.90328,0.38977,0.27107,1.14236,0.007129,0.007129,0.007129
89,2222.29,0.44102,0.32208,1.12736,0.96296,0.96635,0.98821,0.90966,0.3763,0.28294,1.14161,0.007096,0.007096,0.007096
90,2246.91,0.43924,0.32386,1.10813,0.9828,0.98032,0.99089,0.91327,0.37673,0.28999,1.14693,0.007063,0.007063,0.007063
91,2271.82,0.44248,0.32325,1.11827,0.98276,0.97265,0.98607,0.90759,0.37885,0.28496,1.13055,0.00703,0.00703,0.00703
92,2296.43,0.43147,0.32028,1.10153,0.97958,0.97688,0.99094,0.91142,0.37448,0.27811,1.13636,0.006997,0.006997,0.006997
93,2320.69,0.44255,0.32509,1.12872,0.98021,0.97415,0.99155,0.91379,0.37438,0.27297,1.13271,0.006964,0.006964,0.006964
94,2345.75,0.44186,0.32529,1.11505,0.97852,0.97409,0.99201,0.91517,0.37836,0.2702,1.14098,0.006931,0.006931,0.006931
95,2370.57,0.44215,0.32456,1.11984,0.96732,0.97599,0.98549,0.90418,0.39076,0.28398,1.14843,0.006898,0.006898,0.006898
96,2395.08,0.4434,0.32552,1.12522,0.96806,0.98322,0.98957,0.91079,0.37771,0.26695,1.15303,0.006865,0.006865,0.006865
97,2419.55,0.43609,0.31998,1.12725,0.96806,0.98264,0.98897,0.9118,0.36767,0.26316,1.12847,0.006832,0.006832,0.006832
98,2444.13,0.43805,0.3224,1.11277,0.98064,0.98484,0.98992,0.91339,0.37078,0.26416,1.14526,0.006799,0.006799,0.006799
99,2469.14,0.43088,0.31831,1.11449,0.97783,0.97697,0.98782,0.91108,0.37061,0.2669,1.1512,0.006766,0.006766,0.006766
100,2493.7,0.42479,0.31541,1.10694,0.96485,0.97505,0.98782,0.90967,0.37236,0.27491,1.14695,0.006733,0.006733,0.006733
101,2518.68,0.43839,0.32256,1.11832,0.96729,0.9699,0.98902,0.91011,0.36981,0.26778,1.13792,0.0067,0.0067,0.0067
102,2543.67,0.42639,0.31361,1.10078,0.98178,0.97692,0.99316,0.91651,0.36549,0.26285,1.14195,0.006667,0.006667,0.006667
103,2568.49,0.42079,0.30749,1.10634,0.98633,0.97986,0.99347,0.92037,0.35931,0.2446,1.14669,0.006634,0.006634,0.006634
104,2593.38,0.42429,0.3122,1.11172,0.9777,0.97524,0.99086,0.91337,0.3737,0.25699,1.12855,0.006601,0.006601,0.006601
105,2617.58,0.42973,0.31311,1.1087,0.97751,0.97066,0.99155,0.91363,0.37303,0.25869,1.1336,0.006568,0.006568,0.006568
106,2641.76,0.41698,0.30694,1.09723,0.98504,0.97867,0.9921,0.918,0.36557,0.25555,1.12458,0.006535,0.006535,0.006535
107,2666.25,0.42918,0.32009,1.11423,0.98277,0.9836,0.9933,0.91626,0.36488,0.25324,1.13863,0.006502,0.006502,0.006502
108,2690.55,0.42037,0.30898,1.10552,0.98297,0.98206,0.99324,0.91571,0.36949,0.25715,1.13895,0.006469,0.006469,0.006469
109,2715.13,0.42356,0.30966,1.11734,0.97805,0.97463,0.99258,0.91245,0.37196,0.25649,1.14561,0.006436,0.006436,0.006436
110,2739.59,0.41897,0.30824,1.10783,0.98153,0.98426,0.99229,0.91414,0.36533,0.24443,1.13902,0.006403,0.006403,0.006403
111,2764.7,0.42239,0.31229,1.10188,0.97327,0.9663,0.99084,0.9117,0.37104,0.26583,1.14407,0.00637,0.00637,0.00637
112,2789.3,0.41525,0.30456,1.09787,0.97518,0.9744,0.98857,0.90869,0.37157,0.2689,1.14395,0.006337,0.006337,0.006337
113,2813.49,0.41428,0.30825,1.11515,0.98545,0.97967,0.98849,0.90969,0.36265,0.25786,1.13148,0.006304,0.006304,0.006304
114,2838.26,0.41491,0.31153,1.12305,0.98099,0.96892,0.98524,0.91026,0.36022,0.27128,1.1298,0.006271,0.006271,0.006271
115,2862.82,0.41632,0.30826,1.10223,0.97982,0.97699,0.98744,0.91155,0.36303,0.26602,1.13513,0.006238,0.006238,0.006238
116,2887.64,0.42877,0.31504,1.11776,0.97821,0.97137,0.98837,0.91578,0.35995,0.26029,1.13235,0.006205,0.006205,0.006205
117,2912.29,0.4172,0.30475,1.10854,0.97351,0.97985,0.98946,0.91532,0.3594,0.25993,1.13941,0.006172,0.006172,0.006172
118,2937.11,0.42016,0.31297,1.11341,0.97541,0.97152,0.98929,0.91315,0.36104,0.268,1.14599,0.006139,0.006139,0.006139
119,2961.45,0.40793,0.30138,1.1028,0.97412,0.97796,0.98791,0.9132,0.35773,0.25607,1.14478,0.006106,0.006106,0.006106
