epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.8125,1.39566,2.92594,2.18407,0.67325,0.68102,0.6834,0.48133,0.97698,1.58523,1.76963,0.00330808,0.00330808,0.00330808
2,58.7359,0.90498,0.71859,1.53666,0.73573,0.7042,0.76643,0.60437,0.77674,1.31295,1.55761,0.0066195,0.0066195,0.0066195
3,84.2437,0.86337,0.66509,1.51735,0.65009,0.7762,0.72696,0.52097,1.03211,1.64139,1.88037,0.00990891,0.00990891,0.00990891
4,109.753,0.82587,0.61972,1.4791,0.76862,0.75769,0.79554,0.62577,0.76326,2.12713,1.6106,0.009901,0.009901,0.009901
5,134.648,0.77853,0.56915,1.46115,0.7645,0.7709,0.77742,0.61258,0.7268,1.25936,1.64852,0.009868,0.009868,0.009868
6,159.469,0.74643,0.53291,1.4185,0.86288,0.78186,0.85779,0.71239,0.66729,0.98811,1.46568,0.009835,0.009835,0.009835
7,184.719,0.71855,0.5032,1.39654,0.87362,0.7277,0.79743,0.67772,0.60827,1.1039,1.52143,0.009802,0.009802,0.009802
8,209.971,0.68636,0.4858,1.36683,0.84608,0.68551,0.78041,0.66902,0.59686,1.23416,1.47091,0.009769,0.009769,0.009769
9,234.431,0.66532,0.46772,1.33752,0.81733,0.6952,0.78925,0.66427,0.67862,1.52539,1.4875,0.009736,0.009736,0.009736
10,258.923,0.6508,0.46458,1.34132,0.90604,0.80849,0.85193,0.73406,0.56185,0.73622,1.41058,0.009703,0.009703,0.009703
11,283.808,0.63583,0.4502,1.31245,0.8973,0.69174,0.82663,0.71976,0.57885,1.01529,1.36232,0.00967,0.00967,0.00967
12,308.721,0.62902,0.44061,1.30993,0.78965,0.70563,0.77097,0.66895,0.60839,1.28675,1.43166,0.009637,0.009637,0.009637
13,333.949,0.61078,0.43107,1.28311,0.85643,0.61107,0.77265,0.65702,0.71412,1.37386,1.51337,0.009604,0.009604,0.009604
14,358.438,0.6008,0.42482,1.27642,0.86336,0.72237,0.77413,0.66823,0.59131,0.94015,1.41084,0.009571,0.009571,0.009571
15,383.602,0.5979,0.42253,1.27659,0.88619,0.81987,0.85617,0.75793,0.51439,0.70326,1.31626,0.009538,0.009538,0.009538
16,408.932,0.59734,0.41436,1.27889,0.87317,0.77734,0.81325,0.72128,0.5157,1.01253,1.30699,0.009505,0.009505,0.009505
17,434.089,0.58805,0.41226,1.27772,0.86313,0.79693,0.84932,0.75909,0.51453,0.84093,1.26709,0.009472,0.009472,0.009472
18,459.184,0.58122,0.40698,1.25701,0.90478,0.80439,0.86612,0.77617,0.50219,0.73799,1.33058,0.009439,0.009439,0.009439
19,484.485,0.57447,0.40584,1.25744,0.91749,0.76051,0.84887,0.76393,0.5178,0.73888,1.31969,0.009406,0.009406,0.009406
20,509.324,0.56393,0.40652,1.24902,0.89225,0.8046,0.83437,0.7435,0.48625,0.6408,1.28206,0.009373,0.009373,0.009373
21,534.456,0.56228,0.39685,1.25263,0.91815,0.75757,0.82075,0.73205,0.49565,0.86733,1.26937,0.00934,0.00934,0.00934
22,559.346,0.55833,0.39295,1.2492,0.88561,0.81158,0.89219,0.7904,0.49865,0.687,1.3216,0.009307,0.009307,0.009307
23,584.071,0.55832,0.38877,1.24187,0.88838,0.76365,0.86704,0.76267,0.54841,0.86674,1.36749,0.009274,0.009274,0.009274
24,609.198,0.54738,0.38441,1.23833,0.7746,0.52508,0.65387,0.51838,1.19303,2.68575,1.94869,0.009241,0.009241,0.009241
25,634.757,0.53987,0.37969,1.21608,0.90449,0.82426,0.88867,0.80516,0.46408,0.59755,1.28164,0.009208,0.009208,0.009208
26,659.441,0.53852,0.37986,1.21874,0.89361,0.63385,0.77946,0.69831,0.52232,0.97413,1.33305,0.009175,0.009175,0.009175
27,683.995,0.53473,0.3726,1.2222,0.88877,0.8711,0.8732,0.79105,0.46813,0.61228,1.28416,0.009142,0.009142,0.009142
28,708.941,0.53287,0.37629,1.22197,0.91605,0.72879,0.84627,0.75804,0.51742,0.7868,1.30384,0.009109,0.009109,0.009109
29,733.672,0.52689,0.37402,1.21006,0.87433,0.76525,0.85934,0.77554,0.51388,0.79743,1.31515,0.009076,0.009076,0.009076
30,759.141,0.52824,0.37266,1.214,0.92502,0.82672,0.89082,0.80855,0.44148,0.64486,1.2031,0.009043,0.009043,0.009043
31,783.915,0.51946,0.36343,1.20014,0.92226,0.73453,0.87798,0.80578,0.45638,0.78328,1.25949,0.00901,0.00901,0.00901
32,808.477,0.52203,0.36746,1.2087,0.90931,0.83495,0.86531,0.79166,0.42543,0.62927,1.21934,0.008977,0.008977,0.008977
33,832.752,0.52539,0.36821,1.20432,0.9143,0.75048,0.848,0.76769,0.48142,0.8255,1.2842,0.008944,0.008944,0.008944
34,857.186,0.52478,0.36634,1.20943,0.91895,0.84126,0.88606,0.81509,0.43277,0.63176,1.24808,0.008911,0.008911,0.008911
35,881.932,0.51222,0.36144,1.20041,0.91158,0.8083,0.88345,0.80258,0.47175,0.72861,1.28724,0.008878,0.008878,0.008878
36,906.661,0.51123,0.3577,1.19292,0.91275,0.82103,0.88287,0.81207,0.42069,0.64312,1.23835,0.008845,0.008845,0.008845
37,930.911,0.51649,0.36172,1.20549,0.92324,0.78854,0.89459,0.81339,0.45832,0.70732,1.24435,0.008812,0.008812,0.008812
38,955.473,0.50773,0.35615,1.18976,0.89353,0.73872,0.87274,0.79888,0.47244,0.81875,1.28731,0.008779,0.008779,0.008779
39,980.156,0.51601,0.36858,1.20174,0.85601,0.73902,0.85595,0.77408,0.51309,0.95134,1.32615,0.008746,0.008746,0.008746
40,1005.95,0.50069,0.35434,1.18989,0.9083,0.84459,0.87972,0.80803,0.43385,0.64201,1.21482,0.008713,0.008713,0.008713
41,1030.76,0.50099,0.35484,1.18524,0.92916,0.82999,0.89887,0.82223,0.43622,0.61816,1.24404,0.00868,0.00868,0.00868
42,1055.73,0.49217,0.34834,1.1752,0.91464,0.84917,0.88594,0.81862,0.41391,0.59681,1.1828,0.008647,0.008647,0.008647
