epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1541,1.36507,3.09214,1.95665,0.78114,0.81649,0.89612,0.64369,0.95292,0.86088,1.39781,0.00330808,0.00330808,0.00330808
2,55.3615,0.8935,0.71606,1.3424,0.84114,0.77228,0.90377,0.71752,0.76756,0.87558,1.30436,0.0066195,0.0066195,0.0066195
3,80.0174,0.84374,0.70483,1.32362,0.53398,0.6293,0.538,0.42525,1.14139,3.88833,1.803,0.00990891,0.00990891,0.00990891
4,104.619,0.82065,0.64991,1.32706,0.7903,0.78376,0.94745,0.75007,0.81105,1.49976,1.56341,0.009901,0.009901,0.009901
5,129.156,0.77119,0.5869,1.32568,0.89192,0.91726,0.9549,0.80889,0.63155,0.73545,1.25414,0.009868,0.009868,0.009868
6,154.035,0.73091,0.55368,1.30082,0.84569,0.8384,0.91761,0.74863,0.75268,0.76431,1.35068,0.009835,0.009835,0.009835
7,178.495,0.7003,0.52097,1.29026,0.86341,0.87899,0.90449,0.77089,0.62048,0.64848,1.33237,0.009802,0.009802,0.009802
8,203.17,0.67173,0.50836,1.27034,0.89456,0.91188,0.95152,0.82593,0.57733,0.55089,1.24253,0.009769,0.009769,0.009769
9,228.437,0.65186,0.48128,1.24757,0.93914,0.93073,0.9774,0.82578,0.61807,0.49945,1.22624,0.009736,0.009736,0.009736
10,252.993,0.64612,0.4791,1.25212,0.86126,0.81785,0.83069,0.71564,0.57862,1.00946,1.24283,0.009703,0.009703,0.009703
11,277.357,0.63228,0.46674,1.22915,0.96407,0.94366,0.9853,0.88303,0.50806,0.39443,1.17419,0.00967,0.00967,0.00967
12,301.539,0.62597,0.46221,1.22195,0.92092,0.91257,0.98054,0.88672,0.47814,0.43486,1.14918,0.009637,0.009637,0.009637
13,325.711,0.60556,0.44483,1.20609,0.94882,0.95537,0.98662,0.88392,0.49584,0.3958,1.16231,0.009604,0.009604,0.009604
14,349.797,0.59391,0.43829,1.1998,0.8916,0.92226,0.91721,0.81664,0.50182,0.5026,1.1734,0.009571,0.009571,0.009571
15,374.15,0.59258,0.44044,1.20125,0.22488,0.13625,0.17999,0.11732,2.86208,6.24347,4.63743,0.009538,0.009538,0.009538
16,398.623,0.58173,0.42924,1.19194,0.51711,0.09809,0.30571,0.1782,2.82177,6.59834,3.90964,0.009505,0.009505,0.009505
17,422.917,0.5821,0.43091,1.19977,0.98234,0.98293,0.9873,0.88688,0.47704,0.36122,1.17892,0.009472,0.009472,0.009472
18,447.515,0.57329,0.42326,1.1897,0.94504,0.92176,0.97448,0.8723,0.47626,0.4466,1.17465,0.009439,0.009439,0.009439
19,472.118,0.57165,0.42051,1.1896,0.92134,0.91399,0.95948,0.84731,0.5278,0.4609,1.23611,0.009406,0.009406,0.009406
20,497.117,0.55874,0.41607,1.18576,0.85278,0.7853,0.89568,0.74463,0.78754,1.014,1.45563,0.009373,0.009373,0.009373
21,521.696,0.5566,0.40776,1.1934,0.97613,0.973,0.98255,0.89571,0.43899,0.35286,1.1377,0.00934,0.00934,0.00934
22,546.026,0.55271,0.40618,1.1836,0.98593,0.97336,0.98894,0.90363,0.43276,0.33526,1.14346,0.009307,0.009307,0.009307
23,570.799,0.54979,0.39879,1.17555,0.91718,0.84938,0.92171,0.82933,0.46702,0.47468,1.1482,0.009274,0.009274,0.009274
24,595.348,0.53865,0.39406,1.17391,0.90848,0.84173,0.91219,0.76464,0.70828,0.65613,1.34981,0.009241,0.009241,0.009241
25,619.681,0.53463,0.39604,1.15793,0.80692,0.41096,0.64364,0.4454,1.39024,2.70431,2.1315,0.009208,0.009208,0.009208
26,644.48,0.53383,0.39401,1.16398,0.47106,0.2043,0.31631,0.19108,2.86362,5.84684,3.75346,0.009175,0.009175,0.009175
27,668.902,0.52135,0.38119,1.15524,0.93895,0.9257,0.96058,0.88291,0.42867,0.37462,1.14972,0.009142,0.009142,0.009142
28,693.903,0.5175,0.38448,1.15446,0.95902,0.96431,0.97546,0.88918,0.42498,0.31865,1.11335,0.009109,0.009109,0.009109
29,718.675,0.51509,0.3773,1.15913,0.95337,0.96967,0.97662,0.87774,0.47057,0.34628,1.17281,0.009076,0.009076,0.009076
30,743.701,0.51747,0.38494,1.1568,0.88777,0.84606,0.85833,0.76954,0.48301,0.6785,1.17061,0.009043,0.009043,0.009043
31,768.14,0.50085,0.3717,1.14176,0.93221,0.91982,0.95592,0.86184,0.48419,0.45073,1.17492,0.00901,0.00901,0.00901
32,792.545,0.51142,0.37423,1.16238,0.98322,0.96905,0.99014,0.90988,0.40742,0.31935,1.10583,0.008977,0.008977,0.008977
33,817.11,0.51329,0.37842,1.1488,0.95888,0.97636,0.99371,0.91391,0.40298,0.29967,1.10603,0.008944,0.008944,0.008944
34,842.13,0.51552,0.37143,1.15748,0.96047,0.96695,0.97209,0.89515,0.40339,0.30733,1.12362,0.008911,0.008911,0.008911
35,867.268,0.50531,0.37263,1.14822,0.92285,0.96177,0.98524,0.90833,0.408,0.35007,1.10371,0.008878,0.008878,0.008878
36,891.846,0.49824,0.36461,1.13824,0.94057,0.91768,0.95902,0.87298,0.45463,0.42108,1.12696,0.008845,0.008845,0.008845
37,916.492,0.49943,0.36721,1.14212,0.97985,0.98084,0.99079,0.91575,0.38266,0.29055,1.09883,0.008812,0.008812,0.008812
38,941.842,0.49116,0.36377,1.13903,0.98169,0.98083,0.99058,0.91431,0.39305,0.29817,1.11963,0.008779,0.008779,0.008779
39,966.863,0.49924,0.37472,1.14439,0.95646,0.96224,0.97815,0.90166,0.39856,0.34306,1.10641,0.008746,0.008746,0.008746
40,991.777,0.49285,0.36559,1.13581,0.97609,0.974,0.9889,0.91215,0.39321,0.29948,1.10614,0.008713,0.008713,0.008713
41,1016.47,0.48285,0.3587,1.13496,0.91153,0.94911,0.94885,0.86959,0.43117,0.39924,1.1461,0.00868,0.00868,0.00868
42,1041.62,0.47903,0.35362,1.13016,0.92635,0.8683,0.93941,0.81158,0.59663,0.5793,1.23946,0.008647,0.008647,0.008647
43,1066.67,0.4859,0.35863,1.12822,0.9642,0.97782,0.98249,0.90639,0.39049,0.30688,1.10234,0.008614,0.008614,0.008614
44,1091.32,0.48672,0.36079,1.13441,0.90874,0.89764,0.94524,0.80691,0.6376,0.51428,1.23794,0.008581,0.008581,0.008581
45,1116.15,0.47723,0.35104,1.13174,0.98392,0.98075,0.99377,0.92246,0.37778,0.26838,1.10481,0.008548,0.008548,0.008548
46,1141.7,0.47956,0.35456,1.13179,0.94999,0.9646,0.97204,0.89645,0.40348,0.31674,1.13089,0.008515,0.008515,0.008515
47,1166.43,0.48105,0.35261,1.1219,0.96706,0.96068,0.98757,0.91227,0.39555,0.31196,1.10126,0.008482,0.008482,0.008482
48,1191.02,0.46912,0.34266,1.12632,0.88335,0.82451,0.88101,0.77831,0.54423,0.65437,1.20674,0.008449,0.008449,0.008449
49,1215.7,0.48207,0.35387,1.13546,0.9501,0.93402,0.97361,0.89535,0.42853,0.35469,1.12796,0.008416,0.008416,0.008416
50,1240.6,0.46926,0.34366,1.10795,0.98386,0.98907,0.99357,0.92594,0.37189,0.28095,1.07322,0.008383,0.008383,0.008383
51,1266.21,0.46994,0.35299,1.12433,0.97824,0.97983,0.99088,0.92244,0.36821,0.28498,1.12009,0.00835,0.00835,0.00835
52,1291.27,0.47201,0.34948,1.12043,0.9308,0.81111,0.93649,0.82659,0.56766,0.65977,1.24664,0.008317,0.008317,0.008317
53,1315.88,0.45971,0.34267,1.10697,0.93402,0.94628,0.96691,0.89485,0.38324,0.3357,1.11058,0.008284,0.008284,0.008284
54,1340.35,0.46476,0.34327,1.11666,0.97099,0.98088,0.98375,0.91905,0.37354,0.29764,1.07745,0.008251,0.008251,0.008251
55,1364.76,0.46369,0.34298,1.11596,0.97035,0.96539,0.99026,0.90913,0.4096,0.29609,1.10726,0.008218,0.008218,0.008218
56,1388.82,0.46285,0.33936,1.11612,0.9711,0.97715,0.98735,0.91714,0.37408,0.28346,1.10049,0.008185,0.008185,0.008185
57,1413.07,0.46148,0.33943,1.11697,0.98414,0.97429,0.99362,0.92117,0.37636,0.27472,1.09265,0.008152,0.008152,0.008152
58,1437.26,0.44988,0.33803,1.12002,0.98438,0.98134,0.99063,0.9249,0.35498,0.26069,1.07902,0.008119,0.008119,0.008119
59,1461.7,0.45746,0.33858,1.11871,0.96868,0.97558,0.99073,0.91243,0.41324,0.28843,1.12523,0.008086,0.008086,0.008086
60,1486.29,0.4623,0.34385,1.13085,0.9824,0.99603,0.994,0.92514,0.3593,0.24356,1.08869,0.008053,0.008053,0.008053
61,1510.55,0.44868,0.33555,1.1173,0.98573,0.98487,0.99008,0.92765,0.35049,0.26256,1.10511,0.00802,0.00802,0.00802
62,1534.79,0.45157,0.33555,1.10928,0.97912,0.96962,0.99209,0.92494,0.37698,0.27887,1.11018,0.007987,0.007987,0.007987
63,1559.01,0.44921,0.33223,1.10863,0.9776,0.98046,0.99033,0.92647,0.36067,0.26777,1.08463,0.007954,0.007954,0.007954
64,1583.61,0.44774,0.33471,1.1241,0.97602,0.98169,0.98878,0.9216,0.35613,0.26126,1.0825,0.007921,0.007921,0.007921
65,1608.29,0.45045,0.33628,1.11577,0.98736,0.98629,0.99321,0.92641,0.35557,0.27394,1.06516,0.007888,0.007888,0.007888
66,1632.71,0.44793,0.33063,1.10146,0.98577,0.97546,0.98625,0.91436,0.36685,0.29795,1.0882,0.007855,0.007855,0.007855
