epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0922,1.34771,2.87424,2.12961,0.75509,0.86117,0.86622,0.62487,0.96803,1.01486,1.62751,0.00330808,0.00330808,0.00330808
2,55.1211,0.89488,0.71867,1.43521,0.72432,0.86776,0.83803,0.6631,0.77819,0.94459,1.46793,0.0066195,0.0066195,0.0066195
3,79.9334,0.84628,0.67709,1.44539,0.85939,0.79219,0.94137,0.73097,0.82357,1.10908,1.52158,0.00990891,0.00990891,0.00990891
4,104.405,0.809,0.62923,1.43363,0.75314,0.947,0.84667,0.68778,0.71311,2.52045,1.56092,0.009901,0.009901,0.009901
5,129.398,0.75093,0.5667,1.42804,0.83519,0.89918,0.91016,0.75096,0.68408,0.71037,1.583,0.009868,0.009868,0.009868
6,154.043,0.72697,0.53993,1.39356,0.89387,0.86297,0.95863,0.80381,0.62592,0.73662,1.47774,0.009835,0.009835,0.009835
7,178.877,0.69909,0.51284,1.3899,0.92285,0.8542,0.95928,0.80868,0.60409,0.54799,1.49306,0.009802,0.009802,0.009802
8,203.603,0.67508,0.49449,1.35922,0.84401,0.853,0.91356,0.77168,0.61177,0.69,1.44747,0.009769,0.009769,0.009769
9,227.675,0.65032,0.47284,1.33216,0.96117,0.98269,0.99131,0.85077,0.57336,0.38003,1.42248,0.009736,0.009736,0.009736
10,251.898,0.63664,0.46338,1.31572,0.93755,0.89757,0.95795,0.82783,0.54606,0.59255,1.39429,0.009703,0.009703,0.009703
11,276.066,0.6322,0.46352,1.30934,0.97078,0.95588,0.99002,0.85248,0.53773,0.43037,1.43754,0.00967,0.00967,0.00967
12,300.394,0.62249,0.45874,1.29945,0.9194,0.90122,0.96916,0.84831,0.52141,0.50615,1.40868,0.009637,0.009637,0.009637
13,324.508,0.60469,0.4365,1.28184,0.95335,0.92584,0.96092,0.82871,0.54675,0.46014,1.44146,0.009604,0.009604,0.009604
14,348.716,0.58122,0.4234,1.26063,0.95628,0.9602,0.97819,0.86115,0.49855,0.38323,1.39616,0.009571,0.009571,0.009571
15,372.959,0.586,0.42089,1.26028,0.98413,0.94162,0.99014,0.86555,0.52083,0.40635,1.35677,0.009538,0.009538,0.009538
16,397.93,0.57293,0.41728,1.2611,0.94668,0.92456,0.98302,0.87478,0.4909,0.37254,1.35552,0.009505,0.009505,0.009505
17,423.21,0.57272,0.41715,1.26111,0.9598,0.94502,0.98401,0.8709,0.49906,0.34508,1.38265,0.009472,0.009472,0.009472
18,447.806,0.56451,0.40692,1.24363,0.90006,0.95081,0.98095,0.86652,0.4845,0.46374,1.35047,0.009439,0.009439,0.009439
19,472.32,0.55674,0.41086,1.25028,0.96955,0.96003,0.98964,0.87669,0.48673,0.34763,1.36136,0.009406,0.009406,0.009406
20,497.728,0.55009,0.39876,1.23755,0.98555,0.95082,0.99048,0.8868,0.4676,0.32564,1.33202,0.009373,0.009373,0.009373
21,522.978,0.55006,0.39068,1.24017,0.89187,0.83797,0.91876,0.82331,0.46657,0.52199,1.29389,0.00934,0.00934,0.00934
22,548.773,0.5425,0.38989,1.2279,0.84965,0.96055,0.9591,0.84853,0.48213,0.69403,1.33581,0.009307,0.009307,0.009307
23,573.377,0.54256,0.3887,1.23698,0.89314,0.86195,0.90402,0.80754,0.4529,0.52344,1.32009,0.009274,0.009274,0.009274
24,598.374,0.5286,0.37833,1.22533,0.88269,0.81411,0.90547,0.80956,0.45991,0.52802,1.34346,0.009241,0.009241,0.009241
25,623.229,0.53285,0.37937,1.20537,0.87687,0.86236,0.90013,0.8088,0.45084,0.49032,1.32071,0.009208,0.009208,0.009208
26,647.496,0.52273,0.3828,1.20724,0.93433,0.92228,0.96132,0.85795,0.4705,0.36653,1.39281,0.009175,0.009175,0.009175
27,671.638,0.52145,0.36713,1.21045,0.95302,0.93201,0.97917,0.88022,0.44968,0.36989,1.30572,0.009142,0.009142,0.009142
28,695.909,0.51362,0.37588,1.19998,0.92274,0.91417,0.94748,0.85027,0.46151,0.3753,1.33623,0.009109,0.009109,0.009109
29,720.554,0.51583,0.37636,1.2059,0.8941,0.91158,0.963,0.86689,0.43877,0.81314,1.3178,0.009076,0.009076,0.009076
30,745.098,0.51541,0.37196,1.20637,0.9463,0.89782,0.96796,0.87352,0.43347,0.36248,1.29184,0.009043,0.009043,0.009043
31,769.676,0.50676,0.3648,1.20142,0.92645,0.91948,0.95579,0.86601,0.43421,0.40995,1.31916,0.00901,0.00901,0.00901
32,794.857,0.50855,0.36641,1.20329,0.93634,0.93036,0.97127,0.8739,0.43758,0.41914,1.28882,0.008977,0.008977,0.008977
33,819.461,0.51258,0.36965,1.20032,0.88437,0.8883,0.94858,0.85186,0.44034,0.44862,1.33888,0.008944,0.008944,0.008944
34,844.61,0.51078,0.36257,1.20356,0.8398,0.89346,0.94422,0.857,0.42598,0.79676,1.2874,0.008911,0.008911,0.008911
35,869.206,0.50366,0.3644,1.19037,0.95257,0.94489,0.98291,0.87529,0.46616,0.40329,1.31684,0.008878,0.008878,0.008878
36,893.536,0.50411,0.36184,1.18789,0.96071,0.94205,0.97622,0.87763,0.44034,0.33261,1.29705,0.008845,0.008845,0.008845
37,918.019,0.49891,0.36172,1.19155,0.97459,0.96154,0.99048,0.89337,0.43208,0.29317,1.31533,0.008812,0.008812,0.008812
38,942.586,0.49594,0.35715,1.18081,0.9445,0.93332,0.96668,0.87783,0.42955,0.32875,1.29063,0.008779,0.008779,0.008779
39,967.053,0.5042,0.36149,1.19362,0.95745,0.96025,0.98115,0.88329,0.43627,0.30203,1.30399,0.008746,0.008746,0.008746
40,991.419,0.4965,0.35383,1.17917,0.97252,0.96347,0.98138,0.89117,0.41451,0.32563,1.29832,0.008713,0.008713,0.008713
41,1015.62,0.48801,0.35021,1.17675,0.95428,0.93171,0.97016,0.87549,0.42621,0.3319,1.30962,0.00868,0.00868,0.00868
42,1039.95,0.48167,0.34595,1.16605,0.95268,0.94825,0.97278,0.87061,0.4428,0.32317,1.3082,0.008647,0.008647,0.008647
43,1063.97,0.48741,0.35108,1.17348,0.92984,0.89226,0.91511,0.82496,0.42641,0.43276,1.30532,0.008614,0.008614,0.008614
44,1087.91,0.49082,0.35433,1.17274,0.91953,0.90364,0.92667,0.83378,0.43808,0.39334,1.32247,0.008581,0.008581,0.008581
45,1112.5,0.48169,0.34768,1.17725,0.92411,0.90721,0.9532,0.86446,0.4174,0.38262,1.26365,0.008548,0.008548,0.008548
46,1136.72,0.48151,0.34882,1.17919,0.92669,0.9079,0.96229,0.86563,0.4239,0.37703,1.30919,0.008515,0.008515,0.008515
47,1161.11,0.48363,0.34659,1.16963,0.95168,0.95114,0.98919,0.90403,0.41236,0.29463,1.28902,0.008482,0.008482,0.008482
48,1185.3,0.47231,0.34117,1.17461,0.92894,0.92749,0.98056,0.89147,0.4114,0.32669,1.28421,0.008449,0.008449,0.008449
49,1209.77,0.48671,0.34699,1.17364,0.89337,0.89152,0.94035,0.85663,0.41696,0.46826,1.28943,0.008416,0.008416,0.008416
50,1234.19,0.47569,0.3368,1.15529,0.94555,0.95161,0.9751,0.88155,0.41869,0.35538,1.28463,0.008383,0.008383,0.008383
51,1258.62,0.48166,0.34527,1.17518,0.95543,0.8996,0.98415,0.89283,0.41119,0.31905,1.28038,0.00835,0.00835,0.00835
52,1282.72,0.47188,0.34364,1.17068,0.96123,0.94247,0.96631,0.87472,0.42229,0.33318,1.29543,0.008317,0.008317,0.008317
53,1306.86,0.47478,0.33832,1.15911,0.92363,0.91348,0.96646,0.87009,0.43305,0.51142,1.34871,0.008284,0.008284,0.008284
54,1331.34,0.47419,0.34149,1.1589,0.91678,0.90059,0.94869,0.86293,0.42008,0.46266,1.29012,0.008251,0.008251,0.008251
55,1356.35,0.47393,0.33787,1.16653,0.95418,0.9286,0.96629,0.88008,0.40833,0.33101,1.29459,0.008218,0.008218,0.008218
56,1381.34,0.47086,0.33894,1.16504,0.92224,0.92635,0.97072,0.88495,0.40383,0.38595,1.25893,0.008185,0.008185,0.008185
