epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9025,1.336,2.98931,2.08695,0.76229,0.83083,0.91212,0.66163,0.93298,0.98303,1.4492,0.00330808,0.00330808,0.00330808
2,54.7005,0.87859,0.72873,1.37476,0.90597,0.89359,0.96691,0.76133,0.75014,0.5993,1.33819,0.0066195,0.0066195,0.0066195
3,79.1709,0.83865,0.72243,1.37622,0.78507,0.88693,0.91392,0.7076,0.77763,0.99128,1.4355,0.00990891,0.00990891,0.00990891
4,103.476,0.79743,0.65364,1.3713,0.72775,0.82252,0.91098,0.71025,0.73235,1.56563,1.50533,0.009901,0.009901,0.009901
5,128.077,0.74589,0.59169,1.36299,0.93218,0.90578,0.9384,0.78436,0.63514,0.69637,1.36998,0.009868,0.009868,0.009868
6,152.871,0.71876,0.57145,1.33888,0.89321,0.93208,0.95944,0.78123,0.65439,0.56615,1.42111,0.009835,0.009835,0.009835
7,177.238,0.6949,0.53848,1.32175,0.92793,0.89257,0.95996,0.79912,0.59243,0.51597,1.33415,0.009802,0.009802,0.009802
8,201.828,0.66219,0.51494,1.30504,0.96639,0.93004,0.96689,0.83812,0.55302,0.43104,1.26744,0.009769,0.009769,0.009769
9,225.928,0.64777,0.49633,1.27698,0.90637,0.87388,0.94361,0.79377,0.62019,0.49577,1.35492,0.009736,0.009736,0.009736
10,250.139,0.63947,0.49025,1.28115,0.95081,0.95717,0.98464,0.86499,0.50078,0.38401,1.24647,0.009703,0.009703,0.009703
11,274.319,0.63021,0.48057,1.26151,0.91448,0.93255,0.96588,0.83577,0.54692,0.41893,1.25935,0.00967,0.00967,0.00967
12,298.16,0.6212,0.4757,1.25627,0.94053,0.9536,0.97166,0.86436,0.49675,0.37499,1.20294,0.009637,0.009637,0.009637
13,322.174,0.59666,0.45801,1.23502,0.93661,0.93208,0.98427,0.87104,0.48243,0.39983,1.21666,0.009604,0.009604,0.009604
14,347.34,0.58266,0.45085,1.21614,0.95869,0.95463,0.98264,0.87813,0.47284,0.3426,1.2312,0.009571,0.009571,0.009571
15,373.16,0.58517,0.43809,1.22319,0.95967,0.9633,0.98437,0.87375,0.47797,0.35198,1.20428,0.009538,0.009538,0.009538
