epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1987,1.25957,2.67102,2.10628,0.82315,0.89468,0.93031,0.67883,0.90198,0.94998,1.78618,0.00330808,0.00330808,0.00330808
2,55.4449,0.84576,0.6882,1.48277,0.96039,0.97816,0.99165,0.82835,0.67026,0.61663,1.50187,0.0066195,0.0066195,0.0066195
3,79.6082,0.81267,0.66315,1.45558,0.83456,0.71721,0.85813,0.65089,0.88681,1.25795,1.68933,0.00990891,0.00990891,0.00990891
4,104.951,0.80619,0.64011,1.42832,0.76982,0.81153,0.80916,0.67005,0.69465,1.27061,1.49386,0.009901,0.009901,0.009901
5,130.636,0.74446,0.56417,1.39825,0.98266,0.96565,0.98773,0.8189,0.63703,0.48999,1.36526,0.009868,0.009868,0.009868
6,155.439,0.70784,0.54132,1.35127,0.89132,0.80275,0.9074,0.76935,0.63503,0.82449,1.35903,0.009835,0.009835,0.009835
7,180.593,0.67972,0.50114,1.33101,0.91329,0.85432,0.93096,0.80452,0.57344,0.64855,1.3193,0.009802,0.009802,0.009802
8,205.318,0.65163,0.48581,1.30262,0.86755,0.87723,0.97293,0.84196,0.558,1.34956,1.29351,0.009769,0.009769,0.009769
9,230.007,0.63283,0.4602,1.28566,0.95359,0.90659,0.96766,0.83033,0.60152,0.60939,1.34622,0.009736,0.009736,0.009736
10,254.768,0.62659,0.4704,1.27601,0.98527,0.93414,0.99026,0.87132,0.50985,0.48199,1.2453,0.009703,0.009703,0.009703
11,279.492,0.61525,0.45468,1.26487,0.94288,0.89508,0.96022,0.85074,0.49632,0.60529,1.23364,0.00967,0.00967,0.00967
12,304.073,0.60787,0.4445,1.25731,0.98233,0.96558,0.99402,0.89447,0.45936,0.42244,1.25918,0.009637,0.009637,0.009637
13,328.743,0.5854,0.42465,1.23904,0.95019,0.90818,0.93218,0.82967,0.48189,0.68152,1.2372,0.009604,0.009604,0.009604
14,352.961,0.56976,0.42353,1.22501,0.85821,0.93088,0.91654,0.81568,0.46761,0.4893,1.24536,0.009571,0.009571,0.009571
15,376.987,0.57237,0.42292,1.21964,0.93974,0.9183,0.94766,0.8541,0.46394,0.47216,1.22175,0.009538,0.009538,0.009538
16,401.97,0.56769,0.41574,1.23033,0.91257,0.92923,0.94028,0.85421,0.44219,0.43023,1.19176,0.009505,0.009505,0.009505
17,426.114,0.56939,0.41139,1.22415,0.98667,0.98012,0.99034,0.89148,0.45393,0.32031,1.17001,0.009472,0.009472,0.009472
18,450.616,0.55495,0.40142,1.21542,0.92952,0.8856,0.91547,0.8201,0.47358,0.71474,1.23903,0.009439,0.009439,0.009439
19,475.574,0.54874,0.4003,1.21087,0.96359,0.95525,0.97989,0.88787,0.43735,0.34927,1.20381,0.009406,0.009406,0.009406
20,500.192,0.54116,0.39302,1.19739,0.94199,0.95178,0.9929,0.90251,0.42975,0.58279,1.20989,0.009373,0.009373,0.009373
21,524.488,0.54224,0.38966,1.21428,0.96521,0.96273,0.97359,0.87603,0.43955,0.44874,1.18289,0.00934,0.00934,0.00934
22,549.605,0.53722,0.38552,1.19341,0.98402,0.97746,0.99187,0.89821,0.43522,0.31414,1.2057,0.009307,0.009307,0.009307
23,574.054,0.53855,0.38583,1.20333,0.97608,0.94916,0.98873,0.90306,0.4191,0.46369,1.19196,0.009274,0.009274,0.009274
24,598.085,0.52583,0.3761,1.18606,0.9929,0.96992,0.99156,0.90045,0.43717,0.57966,1.18969,0.009241,0.009241,0.009241
25,622.146,0.52387,0.37379,1.17984,0.93275,0.92491,0.93747,0.85479,0.43392,0.39809,1.22365,0.009208,0.009208,0.009208
26,646.71,0.52491,0.38214,1.18999,0.9889,0.97274,0.9923,0.9076,0.4145,0.3801,1.16592,0.009175,0.009175,0.009175
27,671.499,0.51927,0.3714,1.17619,0.97359,0.97419,0.97943,0.89235,0.4154,0.34455,1.17251,0.009142,0.009142,0.009142
28,696.279,0.51086,0.36572,1.16871,0.92004,0.90399,0.94811,0.86811,0.41609,0.54519,1.14175,0.009109,0.009109,0.009109
29,720.968,0.50949,0.36514,1.16867,0.91565,0.94523,0.96704,0.8824,0.42292,0.35734,1.16258,0.009076,0.009076,0.009076
30,745.804,0.50898,0.36614,1.18472,0.86426,0.88844,0.91606,0.83703,0.4074,0.56705,1.15347,0.009043,0.009043,0.009043
31,770.244,0.50545,0.36151,1.16979,0.94002,0.9145,0.9323,0.86076,0.39219,0.43638,1.14661,0.00901,0.00901,0.00901
32,794.847,0.50607,0.35953,1.1794,0.94881,0.93026,0.96394,0.88419,0.40993,0.36274,1.16974,0.008977,0.008977,0.008977
33,821.169,0.5073,0.36717,1.1701,0.88428,0.94661,0.97081,0.88077,0.42698,0.5773,1.17143,0.008944,0.008944,0.008944
34,845.205,0.50915,0.36067,1.18221,0.93386,0.931,0.93141,0.85654,0.40354,0.40358,1.23084,0.008911,0.008911,0.008911
35,870.011,0.49963,0.35931,1.16704,0.974,0.97278,0.98806,0.91131,0.39284,0.29444,1.16262,0.008878,0.008878,0.008878
36,895.315,0.49375,0.35399,1.16203,0.95644,0.94947,0.95625,0.88034,0.39076,0.36085,1.1509,0.008845,0.008845,0.008845
37,919.554,0.4991,0.35202,1.16058,0.97231,0.95752,0.98348,0.9027,0.40041,0.29082,1.13819,0.008812,0.008812,0.008812
38,944.754,0.49179,0.35034,1.16074,0.93804,0.94242,0.96206,0.88151,0.40675,0.3446,1.1879,0.008779,0.008779,0.008779
