epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6248,1.43796,3.15707,2.16326,0.63328,0.76195,0.70657,0.47738,0.9732,1.3463,1.68762,0.00330808,0.00330808,0.00330808
2,55.6619,0.8831,0.74743,1.45873,0.81334,0.88555,0.92944,0.73698,0.75187,0.79903,1.48872,0.0066195,0.0066195,0.0066195
3,79.808,0.84264,0.71279,1.43724,0.7851,0.80818,0.84712,0.65996,0.77185,0.91189,1.55133,0.00990891,0.00990891,0.00990891
4,103.837,0.80532,0.65953,1.39891,0.91158,0.938,0.95623,0.77687,0.69876,0.65705,1.44894,0.009901,0.009901,0.009901
5,128.135,0.76258,0.59158,1.39559,0.85948,0.85944,0.89971,0.72638,0.64935,0.67285,1.43713,0.009868,0.009868,0.009868
6,152.33,0.73639,0.56861,1.36013,0.90668,0.9322,0.96698,0.82458,0.60393,0.62726,1.34479,0.009835,0.009835,0.009835
7,176.396,0.70752,0.54253,1.34083,0.93412,0.96032,0.97428,0.83533,0.58971,0.45307,1.35964,0.009802,0.009802,0.009802
8,201.272,0.67473,0.5127,1.31848,0.82605,0.8615,0.87456,0.75023,0.581,0.67797,1.38312,0.009769,0.009769,0.009769
9,226.341,0.65986,0.48527,1.28818,0.95027,0.94145,0.97344,0.83644,0.57191,0.45535,1.38936,0.009736,0.009736,0.009736
10,250.741,0.65376,0.48602,1.28496,0.95256,0.95425,0.96648,0.84094,0.54703,0.42501,1.28894,0.009703,0.009703,0.009703
11,274.881,0.6316,0.47502,1.26913,0.94598,0.93983,0.96654,0.84283,0.54329,0.57906,1.26812,0.00967,0.00967,0.00967
12,298.869,0.62343,0.47777,1.26342,0.94184,0.91834,0.94097,0.81492,0.56162,0.53259,1.31936,0.009637,0.009637,0.009637
13,322.619,0.60983,0.45694,1.23991,0.91934,0.94784,0.95368,0.83969,0.49678,0.42091,1.25981,0.009604,0.009604,0.009604
14,346.494,0.5891,0.43631,1.22468,0.96236,0.92471,0.96925,0.86526,0.48411,0.39672,1.25341,0.009571,0.009571,0.009571
15,370.589,0.59126,0.44812,1.23949,0.94433,0.9484,0.98142,0.87382,0.48588,0.39678,1.24098,0.009538,0.009538,0.009538
16,394.899,0.58921,0.43351,1.22777,0.80115,0.90279,0.91793,0.81705,0.48417,0.52998,1.24542,0.009505,0.009505,0.009505
17,419.714,0.58233,0.42643,1.22468,0.92386,0.92563,0.94847,0.84438,0.50188,0.45089,1.2477,0.009472,0.009472,0.009472
18,444.343,0.57153,0.42342,1.22196,0.959,0.96368,0.9848,0.88715,0.46398,0.3519,1.23927,0.009439,0.009439,0.009439
