epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.2221,1.22482,1.41618,1.93709,0.8809,0.78182,0.86185,0.65759,1.02843,1.26542,1.89879,0.000474158,0.000474158,0.000474158
2,155.966,1.02612,0.73667,1.69149,0.96748,0.95694,0.98558,0.75947,0.83888,0.66257,1.82765,0.000941082,0.000941082,0.000941082
3,220.613,0.94237,0.67061,1.60438,0.97919,0.9932,0.99295,0.85492,0.69182,2.84885,1.50743,0.00139857,0.00139857,0.00139857
4,283.486,0.88986,0.60491,1.56792,0.72393,0.02167,0.021,0.0161,nan,nan,nan,0.00138656,0.00138656,0.00138656
5,347.026,0.83021,0.58343,1.51648,0.99261,0.97155,0.99134,0.88358,0.58874,3.79051,1.36265,0.00137241,0.00137241,0.00137241
6,408.094,0.78094,0.55279,1.44917,0.99794,0.99931,0.995,0.9113,0.54637,0.43981,1.32719,0.00135826,0.00135826,0.00135826
7,472.343,0.75298,0.52431,1.44265,0.98449,0.98924,0.99454,0.92221,0.50895,0.40763,1.30292,0.00134412,0.00134412,0.00134412
8,535.825,0.71665,0.50914,1.40828,0.99368,0.99689,0.99498,0.91938,0.50528,0.40734,1.30784,0.00132997,0.00132997,0.00132997
9,598.656,0.68401,0.49197,1.39287,0.99845,1,0.995,0.94433,0.43366,0.34545,1.23025,0.00131582,0.00131582,0.00131582
10,659.912,0.65588,0.46978,1.38254,0.98466,0.99385,0.99482,0.93734,0.45611,0.37371,1.25011,0.00130168,0.00130168,0.00130168
11,723.845,0.64038,0.45606,1.36579,0.99415,0.98833,0.99468,0.93358,0.44648,0.37072,1.25062,0.00128753,0.00128753,0.00128753
12,787.721,0.61392,0.44463,1.33179,0.99868,1,0.995,0.94132,0.41228,0.32276,1.18494,0.00127338,0.00127338,0.00127338
13,850.664,0.61835,0.44237,1.34009,0.99836,1,0.995,0.94529,0.39396,0.32343,1.19605,0.00125923,0.00125923,0.00125923
14,913.95,0.58812,0.42893,1.33573,0.99499,0.99956,0.995,0.9602,0.37621,0.31051,1.20934,0.00124509,0.00124509,0.00124509
15,979.146,0.57626,0.42149,1.32062,0.99323,0.99634,0.995,0.94132,0.40231,0.31715,1.18321,0.00123094,0.00123094,0.00123094
16,1042.8,0.566,0.40975,1.30258,0.99396,0.9952,0.9949,0.95071,0.3877,0.32891,1.20857,0.00121679,0.00121679,0.00121679
17,1107.25,0.55528,0.40338,1.2978,0.99894,0.99939,0.995,0.95111,0.37703,0.29872,1.15549,0.00120265,0.00120265,0.00120265
18,1167.95,0.54663,0.403,1.28732,0.99775,0.99957,0.995,0.96267,0.33618,0.2738,1.11745,0.0011885,0.0011885,0.0011885
19,1231.87,0.53499,0.39757,1.29533,0.99862,1,0.995,0.96856,0.31847,0.40646,1.10503,0.00117435,0.00117435,0.00117435
20,1295.91,0.53273,0.39441,1.28225,0.9925,0.99608,0.99487,0.95299,0.36439,0.31475,1.17137,0.00116021,0.00116021,0.00116021
21,1358.32,0.52902,0.39334,1.2944,0.99915,0.99791,0.995,0.95491,0.37102,0.29795,1.16159,0.00114606,0.00114606,0.00114606
22,1418.8,0.51998,0.38667,1.27799,0.99939,1,0.995,0.96477,0.33319,0.28299,1.10374,0.00113191,0.00113191,0.00113191
23,1482.58,0.51555,0.37921,1.27142,0.99867,0.99988,0.995,0.9636,0.33503,0.27873,1.13108,0.00111776,0.00111776,0.00111776
24,1546.47,0.51243,0.38169,1.27235,0.98426,0.99015,0.9948,0.93625,0.43747,0.32071,1.21303,0.00110362,0.00110362,0.00110362
25,1609.75,0.49481,0.37039,1.25581,0.99836,0.99894,0.995,0.97148,0.31537,0.26176,1.10938,0.00108947,0.00108947,0.00108947
26,1674.3,0.49969,0.37253,1.26802,0.99305,0.99697,0.9949,0.95963,0.37021,0.27875,1.17033,0.00107532,0.00107532,0.00107532
27,1735.92,0.49147,0.35933,1.24954,0.99837,1,0.995,0.96592,0.33579,0.26468,1.14269,0.00106118,0.00106118,0.00106118
28,1797.97,0.50496,0.37375,1.27283,0.99933,0.99892,0.995,0.96779,0.3052,0.24887,1.11681,0.00104703,0.00104703,0.00104703
29,1859.87,0.49309,0.36583,1.25812,0.99636,0.99373,0.99394,0.96878,0.32261,0.66532,1.09309,0.00103288,0.00103288,0.00103288
30,1923.37,0.47855,0.3547,1.24703,0.99959,1,0.995,0.97676,0.30261,0.2484,1.06004,0.00101873,0.00101873,0.00101873
31,1987.98,0.47807,0.35612,1.23437,0.99912,0.99964,0.995,0.97518,0.32563,0.2505,1.09877,0.00100459,0.00100459,0.00100459
32,2051.43,0.46478,0.3454,1.23298,0.99928,1,0.995,0.97374,0.30557,0.2525,1.12374,0.00099044,0.00099044,0.00099044
33,2113.86,0.47211,0.34971,1.24829,0.99884,0.99833,0.995,0.97847,0.29667,0.24419,1.11734,0.000976293,0.000976293,0.000976293
34,2177.7,0.47273,0.34662,1.24888,0.99469,0.99833,0.995,0.97623,0.32234,0.25107,1.10265,0.000962146,0.000962146,0.000962146
35,2238.36,0.46094,0.34293,1.22232,0.99476,0.99833,0.99497,0.97543,0.31089,0.25161,1.10106,0.000947999,0.000947999,0.000947999
36,2299.9,0.46688,0.34881,1.24668,0.99939,0.99541,0.995,0.97267,0.31058,0.23902,1.11014,0.000933851,0.000933851,0.000933851
37,2360.91,0.45273,0.33383,1.2399,0.99568,1,0.99498,0.97297,0.32582,0.25926,1.08811,0.000919704,0.000919704,0.000919704
38,2424.02,0.45505,0.33406,1.22899,0.99395,0.99862,0.995,0.98005,0.30071,0.24598,1.10668,0.000905557,0.000905557,0.000905557
39,2486.6,0.44512,0.33228,1.20955,0.99905,1,0.995,0.9787,0.29283,0.23939,1.07313,0.00089141,0.00089141,0.00089141
40,2547.91,0.45553,0.33732,1.23601,0.99633,0.99873,0.995,0.97419,0.31443,0.25548,1.09116,0.000877263,0.000877263,0.000877263
41,2609.03,0.4513,0.33083,1.21762,0.99954,1,0.995,0.98198,0.26714,0.22198,1.05056,0.000863116,0.000863116,0.000863116
42,2672.62,0.4438,0.32656,1.21877,0.99754,0.99939,0.995,0.97744,0.3118,0.23259,1.09012,0.000848969,0.000848969,0.000848969
43,2733.77,0.43952,0.32374,1.21624,0.9995,1,0.995,0.98373,0.25605,0.20909,1.0468,0.000834822,0.000834822,0.000834822
44,2798.64,0.44093,0.32893,1.22114,0.99649,1,0.995,0.97519,0.31037,0.24788,1.09409,0.000820675,0.000820675,0.000820675
45,2860.36,0.43909,0.32216,1.21734,0.99757,0.9991,0.995,0.97564,0.29817,0.23904,1.07386,0.000806528,0.000806528,0.000806528
46,2921.94,0.43862,0.32102,1.21941,0.99151,0.99032,0.99479,0.95075,0.36901,0.29184,1.13246,0.00079238,0.00079238,0.00079238
47,2984.25,0.44582,0.32315,1.22761,0.9745,0.99683,0.995,0.97056,0.31914,0.26101,1.10514,0.000778233,0.000778233,0.000778233
48,3047.27,0.42273,0.30769,1.19288,0.99746,0.99991,0.995,0.98471,0.28612,0.22509,1.07731,0.000764086,0.000764086,0.000764086
49,3110.83,0.42289,0.31268,1.20114,0.99932,1,0.995,0.98709,0.2519,0.21466,1.04304,0.000749939,0.000749939,0.000749939
50,3174.05,0.42768,0.31141,1.20444,0.99944,1,0.995,0.98464,0.26849,0.21995,1.05645,0.000735792,0.000735792,0.000735792
51,3237.64,0.42452,0.30946,1.19217,0.9995,1,0.995,0.97543,0.30556,0.2374,1.07397,0.000721645,0.000721645,0.000721645
52,3299.73,0.42546,0.31541,1.21501,0.99874,0.99388,0.99495,0.97706,0.2978,0.23619,1.08345,0.000707498,0.000707498,0.000707498
53,3361.37,0.41923,0.30694,1.20051,0.99911,1,0.995,0.98661,0.2459,0.20212,1.0531,0.000693351,0.000693351,0.000693351
54,3423.76,0.41641,0.30135,1.19517,0.99715,1,0.99498,0.97602,0.29366,0.23751,1.08022,0.000679204,0.000679204,0.000679204
