epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.0918,1.204,1.32321,1.85202,0,0,0,0,nan,nan,nan,0.000474158,0.000474158,0.000474158
2,132.057,1.02322,0.74327,1.63536,0.80085,0.93178,0.97265,0.77924,0.8333,1.88959,1.63876,0.000941082,0.000941082,0.000941082
3,197.155,0.93725,0.66048,1.58006,0.91736,0.95994,0.98571,0.84036,0.6993,0.65132,1.47166,0.00139857,0.00139857,0.00139857
4,260.835,0.86681,0.59602,1.50019,0.98996,0.99469,0.99461,0.852,0.69463,0.48114,1.42887,0.00138656,0.00138656,0.00138656
5,325.087,0.82046,0.56834,1.45574,0.9764,0.99764,0.99456,0.87976,0.62904,0.46553,1.32101,0.00137241,0.00137241,0.00137241
6,389.021,0.77371,0.54333,1.41414,0.99528,1,0.99482,0.89168,0.56638,0.56866,1.35862,0.00135826,0.00135826,0.00135826
7,452.816,0.74973,0.5233,1.4184,0.99103,0.99922,0.99492,0.91948,0.51857,0.40074,1.2731,0.00134412,0.00134412,0.00134412
8,517.063,0.68774,0.50443,1.37518,0.99501,0.99825,0.99492,0.94464,0.45927,0.38907,1.23427,0.00132997,0.00132997,0.00132997
9,581.095,0.6754,0.49078,1.3656,0.99426,0.99925,0.99497,0.92027,0.45129,0.38491,1.2446,0.00131582,0.00131582,0.00131582
10,641.787,0.62681,0.46267,1.32884,0.99473,0.99667,0.99487,0.92496,0.44688,0.37396,1.34174,0.00130168,0.00130168,0.00130168
11,704.31,0.61292,0.4471,1.31986,0.99712,0.99833,0.995,0.94874,0.40554,0.35741,1.23024,0.00128753,0.00128753,0.00128753
12,768.646,0.5896,0.43275,1.30701,0.99579,1,0.99498,0.92853,0.4604,0.37565,1.2623,0.00127338,0.00127338,0.00127338
13,831.668,0.58358,0.42741,1.30208,0.99771,1,0.995,0.95945,0.36854,0.3007,1.21691,0.00125923,0.00125923,0.00125923
14,895.92,0.56846,0.42238,1.30219,0.99164,0.99953,0.99492,0.94846,0.36039,0.30858,1.1793,0.00124509,0.00124509,0.00124509
15,958.995,0.5505,0.4094,1.29303,0.99765,1,0.995,0.95777,0.35126,0.30795,1.21333,0.00123094,0.00123094,0.00123094
16,1020.62,0.53315,0.3982,1.27536,0.99426,0.98667,0.99298,0.96659,0.33605,0.30809,1.17062,0.00121679,0.00121679,0.00121679
17,1085.89,0.51872,0.38447,1.2654,0.99005,0.99951,0.99485,0.95841,0.33389,0.30289,1.17626,0.00120265,0.00120265,0.00120265
18,1150.2,0.5266,0.39227,1.26857,0.99916,1,0.995,0.9678,0.34605,0.28724,1.17263,0.0011885,0.0011885,0.0011885
19,1214.82,0.50994,0.38501,1.25648,0.99793,0.99972,0.995,0.97076,0.33762,0.29306,1.18635,0.00117435,0.00117435,0.00117435
20,1278.43,0.49576,0.37672,1.24439,0.99919,1,0.995,0.95866,0.31999,0.27643,1.17578,0.00116021,0.00116021,0.00116021
21,1340.87,0.49399,0.3731,1.25727,0.99857,1,0.995,0.95905,0.3572,0.28607,1.15771,0.00114606,0.00114606,0.00114606
22,1403.49,0.47245,0.35535,1.23007,0.99873,1,0.995,0.97048,0.30441,0.26605,1.13926,0.00113191,0.00113191,0.00113191
23,1464.31,0.49254,0.36696,1.25767,0.9973,0.99972,0.99498,0.97389,0.30691,0.26673,1.16999,0.00111776,0.00111776,0.00111776
24,1528.21,0.47524,0.35734,1.24818,0.99654,0.99667,0.99498,0.97316,0.32758,0.27995,1.1819,0.00110362,0.00110362,0.00110362
25,1591.01,0.46369,0.35076,1.22695,0.99889,0.99969,0.995,0.96624,0.32553,0.27219,1.13295,0.00108947,0.00108947,0.00108947
26,1651.12,0.46249,0.34532,1.24517,0.97835,0.99695,0.99398,0.9621,0.31967,0.2924,1.13915,0.00107532,0.00107532,0.00107532
27,1712.96,0.45244,0.33969,1.21648,0.99646,1,0.995,0.96676,0.32534,0.2771,1.13283,0.00106118,0.00106118,0.00106118
28,1775.59,0.46658,0.35319,1.25162,0.99904,1,0.995,0.97655,0.28752,0.25702,1.1486,0.00104703,0.00104703,0.00104703
29,1837.74,0.46228,0.34149,1.23624,0.98465,0.99559,0.99205,0.9719,0.28084,0.25679,1.16232,0.00103288,0.00103288,0.00103288
30,1901.02,0.43821,0.33315,1.21869,0.99703,1,0.995,0.97554,0.30183,0.26362,1.15554,0.00101873,0.00101873,0.00101873
31,1964.64,0.45466,0.33827,1.22446,0.9989,1,0.995,0.97779,0.29449,0.24032,1.11914,0.00100459,0.00100459,0.00100459
32,2030.08,0.43963,0.32946,1.20985,0.9988,1,0.995,0.96608,0.29362,0.25857,1.10834,0.00099044,0.00099044,0.00099044
33,2090.42,0.43191,0.32266,1.21137,0.99922,1,0.995,0.97689,0.26622,0.23759,1.11892,0.000976293,0.000976293,0.000976293
34,2153.44,0.44648,0.33277,1.22812,0.99898,1,0.995,0.97183,0.29973,0.25551,1.12794,0.000962146,0.000962146,0.000962146
35,2216.45,0.4312,0.31998,1.21148,0.99715,0.99833,0.995,0.96651,0.28679,0.24423,1.1091,0.000947999,0.000947999,0.000947999
36,2280.24,0.43075,0.32034,1.20657,0.99535,1,0.99497,0.97476,0.27598,0.24374,1.1134,0.000933851,0.000933851,0.000933851
37,2343.72,0.41422,0.31314,1.1887,0.99874,0.99975,0.995,0.98527,0.26524,0.23787,1.10636,0.000919704,0.000919704,0.000919704
38,2407.82,0.42284,0.31568,1.21112,0.99815,0.99331,0.99493,0.97203,0.28961,0.25941,1.15374,0.000905557,0.000905557,0.000905557
39,2471.78,0.42192,0.31738,1.21526,0.99892,0.99918,0.995,0.97625,0.29106,0.23874,1.12595,0.00089141,0.00089141,0.00089141
40,2536.07,0.41967,0.31758,1.20821,0.99538,0.99805,0.99498,0.97376,0.29183,0.23008,1.13505,0.000877263,0.000877263,0.000877263
41,2598.8,0.42346,0.31197,1.20146,0.9992,0.99714,0.995,0.97118,0.28346,0.25013,1.09843,0.000863116,0.000863116,0.000863116
42,2661.83,0.41776,0.31065,1.1992,0.99953,1,0.995,0.98539,0.24531,0.22095,1.08584,0.000848969,0.000848969,0.000848969
43,2724.13,0.41379,0.31164,1.20009,0.99937,1,0.995,0.9817,0.2638,0.23717,1.0803,0.000834822,0.000834822,0.000834822
44,2784.9,0.40175,0.29907,1.18897,0.9985,0.99872,0.995,0.97668,0.27406,0.23768,1.11617,0.000820675,0.000820675,0.000820675
45,2847.21,0.41424,0.30555,1.2059,0.97493,0.94162,0.98406,0.9201,0.43235,0.38366,1.33571,0.000806528,0.000806528,0.000806528
46,2909.64,0.40242,0.29847,1.18915,0.99615,0.99663,0.99489,0.98402,0.2502,0.30879,1.09111,0.00079238,0.00079238,0.00079238
47,2972.54,0.40738,0.29924,1.2121,0.99895,0.99833,0.995,0.97947,0.2778,0.23123,1.11527,0.000778233,0.000778233,0.000778233
