epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.2162,1.16146,1.28506,1.99282,0.44659,0.259,0.26417,0.1647,2.05976,4.00919,3.2383,0.000474158,0.000474158,0.000474158
2,134.543,1.0112,0.68288,1.80904,0.98264,0.89573,0.93925,0.77574,0.78757,1.00426,1.88008,0.000941082,0.000941082,0.000941082
3,199.206,0.93179,0.62093,1.74923,0.98442,0.97879,0.99323,0.83429,0.74007,0.66704,1.77837,0.00139857,0.00139857,0.00139857
4,263.646,0.88216,0.57395,1.69721,0.99532,0.99905,0.995,0.8608,0.67991,0.43912,1.62207,0.00138656,0.00138656,0.00138656
5,328.858,0.82764,0.53717,1.60034,0.99621,0.9921,0.99297,0.86887,0.61599,0.43445,1.69801,0.00137241,0.00137241,0.00137241
6,393.1,0.76899,0.50302,1.5678,0.994,1,0.9946,0.91454,0.51771,0.38034,1.48247,0.00135826,0.00135826,0.00135826
7,457.234,0.73601,0.48822,1.5372,0.99448,1,0.99493,0.91382,0.5335,0.38386,1.50293,0.00134412,0.00134412,0.00134412
8,519.11,0.6888,0.4645,1.47852,0.99891,1,0.995,0.93546,0.4316,0.34865,1.42237,0.00132997,0.00132997,0.00132997
9,583.245,0.66766,0.45602,1.50223,0.99659,1,0.995,0.9298,0.4479,0.34768,1.33204,0.00131582,0.00131582,0.00131582
10,647.094,0.63763,0.44165,1.45345,0.99788,1,0.995,0.93614,0.4386,0.33326,1.40654,0.00130168,0.00130168,0.00130168
11,711.402,0.61335,0.42358,1.42973,0.99988,0.99945,0.995,0.94306,0.41967,0.31139,1.3641,0.00128753,0.00128753,0.00128753
12,776.097,0.59168,0.40994,1.41965,0.99915,0.99986,0.995,0.94743,0.41826,0.30713,1.44787,0.00127338,0.00127338,0.00127338
13,840.08,0.58457,0.41248,1.42227,0.99621,1,0.995,0.9551,0.36764,0.29352,1.32597,0.00125923,0.00125923,0.00125923
14,904.657,0.56341,0.39721,1.39146,0.99777,0.99978,0.995,0.9649,0.35841,0.28526,1.28389,0.00124509,0.00124509,0.00124509
15,969.383,0.55378,0.38932,1.38939,0.99923,1,0.995,0.96588,0.35959,0.27619,1.29737,0.00123094,0.00123094,0.00123094
16,1034.56,0.52612,0.37437,1.35079,0.99936,1,0.995,0.97043,0.33973,0.28018,1.25772,0.00121679,0.00121679,0.00121679
17,1099.36,0.52082,0.37267,1.35468,0.99946,1,0.995,0.96201,0.37081,0.30038,1.28653,0.00120265,0.00120265,0.00120265
18,1163.26,0.52024,0.37436,1.35,0.99892,0.99999,0.995,0.96829,0.32978,0.27631,1.24921,0.0011885,0.0011885,0.0011885
19,1227.4,0.50232,0.35729,1.32824,0.99915,1,0.995,0.96078,0.35444,0.28695,1.24438,0.00117435,0.00117435,0.00117435
20,1291.38,0.49951,0.35376,1.32155,0.99959,1,0.995,0.96691,0.33465,0.2689,1.237,0.00116021,0.00116021,0.00116021
21,1355.19,0.49148,0.35646,1.33875,0.99901,1,0.995,0.97051,0.33935,0.26948,1.20976,0.00114606,0.00114606,0.00114606
22,1419.89,0.47927,0.3474,1.31484,0.99912,1,0.995,0.97117,0.32736,0.25629,1.25525,0.00113191,0.00113191,0.00113191
23,1484.76,0.49446,0.34515,1.34445,0.99959,1,0.995,0.96583,0.32186,0.26073,1.25057,0.00111776,0.00111776,0.00111776
24,1548.27,0.47546,0.34534,1.31569,0.99944,1,0.995,0.97394,0.32084,0.25434,1.19878,0.00110362,0.00110362,0.00110362
25,1612.98,0.46731,0.34472,1.29739,0.99958,1,0.995,0.97766,0.31199,0.25171,1.20311,0.00108947,0.00108947,0.00108947
26,1678.95,0.47362,0.33939,1.32972,0.99954,1,0.995,0.96941,0.29465,0.23377,1.17453,0.00107532,0.00107532,0.00107532
27,1742.93,0.45044,0.32419,1.2883,0.99947,1,0.995,0.98291,0.28094,0.23979,1.17687,0.00106118,0.00106118,0.00106118
28,1806.33,0.46075,0.33104,1.31995,0.99963,1,0.995,0.98107,0.28185,0.23183,1.2056,0.00104703,0.00104703,0.00104703
29,1870.17,0.45897,0.33036,1.31273,0.99956,1,0.995,0.9763,0.29518,0.23437,1.18716,0.00103288,0.00103288,0.00103288
30,1934.19,0.44027,0.31796,1.29023,0.99962,1,0.995,0.97947,0.29971,0.24778,1.20391,0.00101873,0.00101873,0.00101873
31,1997.92,0.44919,0.32579,1.28866,0.99943,1,0.995,0.97963,0.27724,0.23623,1.17879,0.00100459,0.00100459,0.00100459
32,2061.92,0.4422,0.3192,1.28313,0.99975,1,0.995,0.97978,0.29163,0.23284,1.16153,0.00099044,0.00099044,0.00099044
33,2125.38,0.43006,0.31601,1.28739,0.99902,1,0.995,0.97758,0.27231,0.22932,1.16884,0.000976293,0.000976293,0.000976293
34,2188.65,0.4394,0.32247,1.2883,0.99903,0.99992,0.995,0.97975,0.28071,0.23594,1.18563,0.000962146,0.000962146,0.000962146
35,2252.52,0.42593,0.30751,1.27246,0.99903,0.99839,0.995,0.98292,0.25899,0.22402,1.16858,0.000947999,0.000947999,0.000947999
36,2317.16,0.42798,0.30683,1.27072,0.99948,1,0.995,0.98278,0.261,0.22406,1.14827,0.000933851,0.000933851,0.000933851
37,2380.75,0.41549,0.30028,1.26446,0.99963,0.99859,0.995,0.98135,0.26894,0.22837,1.19231,0.000919704,0.000919704,0.000919704
38,2443.81,0.42191,0.30512,1.26618,0.99781,1,0.995,0.98412,0.26811,0.22092,1.19902,0.000905557,0.000905557,0.000905557
39,2507.67,0.41734,0.30273,1.27524,0.99955,1,0.995,0.9865,0.25377,0.21822,1.17048,0.00089141,0.00089141,0.00089141
40,2572.45,0.41767,0.30477,1.27066,0.99945,1,0.995,0.98588,0.26007,0.22538,1.13004,0.000877263,0.000877263,0.000877263
41,2636.31,0.4208,0.29889,1.27764,0.9995,1,0.995,0.97851,0.27009,0.2332,1.1315,0.000863116,0.000863116,0.000863116
42,2700.3,0.4139,0.29668,1.26095,0.99911,1,0.995,0.98097,0.25984,0.21556,1.16094,0.000848969,0.000848969,0.000848969
43,2763.67,0.41124,0.29616,1.27013,0.99906,0.9998,0.995,0.98032,0.2466,0.21433,1.14242,0.000834822,0.000834822,0.000834822
44,2827.83,0.39645,0.28834,1.25108,0.99946,1,0.995,0.98361,0.25759,0.2077,1.1489,0.000820675,0.000820675,0.000820675
45,2891.59,0.41104,0.2941,1.26553,0.99945,1,0.995,0.98746,0.24383,0.213,1.13174,0.000806528,0.000806528,0.000806528
46,2956.69,0.4056,0.28937,1.26957,0.9999,1,0.995,0.98765,0.22795,0.20761,1.12974,0.00079238,0.00079238,0.00079238
47,3021.85,0.40508,0.28844,1.27116,0.99951,1,0.995,0.98668,0.24365,0.21124,1.13735,0.000778233,0.000778233,0.000778233
48,3086.28,0.3939,0.2864,1.25015,0.9997,1,0.995,0.98346,0.25707,0.21364,1.14334,0.000764086,0.000764086,0.000764086
49,3150.35,0.39412,0.28642,1.25692,0.99972,1,0.995,0.97909,0.25129,0.22746,1.13899,0.000749939,0.000749939,0.000749939
50,3213.85,0.39606,0.28411,1.24838,0.99868,1,0.995,0.98111,0.23407,0.20842,1.12846,0.000735792,0.000735792,0.000735792
51,3277.95,0.3909,0.27987,1.25084,0.99966,1,0.995,0.98405,0.24171,0.20987,1.14473,0.000721645,0.000721645,0.000721645
52,3342.1,0.3913,0.28167,1.24828,0.99905,1,0.995,0.98669,0.23771,0.21234,1.1154,0.000707498,0.000707498,0.000707498
53,3406.2,0.38988,0.27888,1.25226,0.99958,1,0.995,0.98874,0.23461,0.20456,1.12238,0.000693351,0.000693351,0.000693351
54,3471.24,0.37726,0.27493,1.24115,0.99924,1,0.995,0.98469,0.23931,0.21199,1.12345,0.000679204,0.000679204,0.000679204
55,3534.02,0.37207,0.27073,1.24412,0.99976,1,0.995,0.98498,0.24215,0.20139,1.13558,0.000665057,0.000665057,0.000665057
56,3597.93,0.38008,0.2758,1.23815,0.99988,1,0.995,0.98948,0.22723,0.19518,1.13191,0.000650909,0.000650909,0.000650909
57,3662.47,0.38357,0.27486,1.23793,0.99969,1,0.995,0.98761,0.23261,0.20103,1.10758,0.000636762,0.000636762,0.000636762
58,3726.31,0.37248,0.26587,1.22925,0.99912,0.99977,0.995,0.98809,0.25182,0.20432,1.12397,0.000622615,0.000622615,0.000622615
59,3789.38,0.36819,0.26633,1.21438,0.99913,1,0.995,0.99173,0.21249,0.19594,1.10288,0.000608468,0.000608468,0.000608468
60,3853.96,0.37452,0.27138,1.24702,0.9989,0.99982,0.995,0.9885,0.23494,0.20148,1.12528,0.000594321,0.000594321,0.000594321
61,3916.8,0.36482,0.26364,1.21801,0.99947,1,0.995,0.98805,0.22662,0.19828,1.10599,0.000580174,0.000580174,0.000580174
62,3980.16,0.35696,0.26077,1.23116,0.99941,1,0.995,0.98729,0.22297,0.20032,1.11603,0.000566027,0.000566027,0.000566027
63,4044.18,0.36161,0.26012,1.21296,0.99963,1,0.995,0.98998,0.22107,0.19663,1.0913,0.00055188,0.00055188,0.00055188
64,4106.56,0.36178,0.26194,1.22619,0.99949,1,0.995,0.9893,0.20919,0.19049,1.11272,0.000537733,0.000537733,0.000537733
65,4169.57,0.34881,0.25444,1.21221,0.9995,1,0.995,0.99039,0.21809,0.19014,1.0998,0.000523586,0.000523586,0.000523586
66,4232.63,0.35567,0.26077,1.22827,0.99961,1,0.995,0.99155,0.21511,0.1896,1.11092,0.000509438,0.000509438,0.000509438
67,4296.57,0.3528,0.25706,1.21736,0.99881,1,0.995,0.99032,0.21596,0.19013,1.10107,0.000495291,0.000495291,0.000495291
68,4360.37,0.35243,0.25627,1.21326,0.99957,1,0.995,0.99225,0.21007,0.18748,1.10053,0.000481144,0.000481144,0.000481144
69,4423.39,0.3482,0.25366,1.22265,0.99899,1,0.995,0.98845,0.21573,0.18198,1.09657,0.000466997,0.000466997,0.000466997
70,4486.49,0.35077,0.25413,1.20943,0.99962,1,0.995,0.99037,0.20351,0.18539,1.08493,0.00045285,0.00045285,0.00045285
71,4549.59,0.34597,0.25287,1.20751,0.99976,1,0.995,0.99079,0.21317,0.19172,1.09613,0.000438703,0.000438703,0.000438703
72,4613,0.35306,0.2547,1.22457,0.99933,1,0.995,0.99082,0.21387,0.18818,1.09395,0.000424556,0.000424556,0.000424556
73,4674.67,0.34405,0.24876,1.19672,0.99942,1,0.995,0.99031,0.20862,0.18848,1.09478,0.000410409,0.000410409,0.000410409
74,4737.76,0.33984,0.24588,1.20459,0.99927,0.99986,0.995,0.9915,0.21423,0.1918,1.08859,0.000396262,0.000396262,0.000396262
75,4800.85,0.32853,0.24201,1.20306,0.99947,1,0.995,0.99159,0.21271,0.18737,1.09755,0.000382115,0.000382115,0.000382115
76,4863.48,0.33094,0.24217,1.19899,0.99954,1,0.995,0.99102,0.20692,0.18128,1.09612,0.000367967,0.000367967,0.000367967
77,4925.53,0.33818,0.24456,1.22955,0.99956,1,0.995,0.99142,0.19281,0.17811,1.08833,0.00035382,0.00035382,0.00035382
78,4986.86,0.33075,0.24216,1.18969,0.99948,0.99997,0.995,0.99159,0.2016,0.17857,1.09238,0.000339673,0.000339673,0.000339673
79,5050.26,0.32321,0.23686,1.18516,0.99938,1,0.995,0.99154,0.20199,0.18251,1.08833,0.000325526,0.000325526,0.000325526
80,5112.79,0.3279,0.23894,1.20134,0.99951,1,0.995,0.99041,0.19395,0.18262,1.07361,0.000311379,0.000311379,0.000311379
81,5174.62,0.32522,0.24213,1.18941,0.99959,1,0.995,0.99323,0.19437,0.1841,1.07395,0.000297232,0.000297232,0.000297232
82,5236.59,0.32604,0.23674,1.20195,0.99928,0.99982,0.995,0.99316,0.20296,0.1855,1.07693,0.000283085,0.000283085,0.000283085
83,5299.61,0.32022,0.23646,1.17676,0.99934,1,0.995,0.99199,0.19988,0.18438,1.07141,0.000268938,0.000268938,0.000268938
84,5363.22,0.31992,0.23571,1.18552,0.99961,1,0.995,0.99267,0.19137,0.18173,1.06993,0.000254791,0.000254791,0.000254791
85,5426.28,0.31091,0.23343,1.17923,0.99944,1,0.995,0.99064,0.19563,0.18682,1.07731,0.000240644,0.000240644,0.000240644
86,5489.2,0.31637,0.23171,1.17976,0.99942,1,0.995,0.99268,0.19499,0.17641,1.07675,0.000226497,0.000226497,0.000226497
87,5552.38,0.31119,0.23219,1.18104,0.99977,1,0.995,0.99193,0.19407,0.1786,1.08053,0.000212349,0.000212349,0.000212349
