epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1262,1.86124,2.32736,2.88768,0,0,0,0,nan,nan,nan,0.000659091,0.000659091,0.000659091
2,52.4886,1.37337,0.99331,2.37261,0,0,0,0,nan,nan,nan,0.00131263,0.00131263,0.00131263
3,80.6286,1.26376,0.85232,2.20942,0.79073,0.455,0.50349,0.23552,1.79827,4.98645,3.85858,0.00195297,0.00195297,0.00195297
4,108.58,1.14623,0.75822,2.07834,0.95306,0.97,0.98977,0.68094,1.13539,1.20986,2.61869,0.0019406,0.0019406,0.0019406
5,134.692,1.07042,0.70413,1.93627,0.98467,0.99,0.99436,0.78078,0.83552,2.42964,1.76561,0.0019208,0.0019208,0.0019208
6,162.039,0.95252,0.62843,1.78254,0.97269,0.985,0.9941,0.88383,0.59281,1.08849,1.84259,0.001901,0.001901,0.001901
7,190.5,0.87342,0.55574,1.784,0.98931,0.92534,0.98233,0.87916,0.57362,1.11815,1.72284,0.0018812,0.0018812,0.0018812
8,218.899,0.85311,0.54565,1.68422,0.99913,1,0.995,0.87863,0.62278,0.43477,1.47438,0.0018614,0.0018614,0.0018614
9,246.816,0.81961,0.5311,1.67127,0.99501,0.99625,0.9948,0.9117,0.53903,0.46689,1.39217,0.0018416,0.0018416,0.0018416
10,275.385,0.8029,0.53179,1.62534,0.97989,1,0.98657,0.90204,0.51389,0.48336,1.45224,0.0018218,0.0018218,0.0018218
11,302.838,0.75635,0.50197,1.58975,0.99461,1,0.99485,0.89334,0.53373,2.16657,1.67438,0.001802,0.001802,0.001802
12,329.253,0.74978,0.4956,1.56928,0.99967,1,0.995,0.92506,0.48043,0.388,1.42476,0.0017822,0.0017822,0.0017822
13,357.595,0.71848,0.48889,1.54753,0.9847,1,0.99445,0.93973,0.48975,0.42402,1.44959,0.0017624,0.0017624,0.0017624
14,385.068,0.71321,0.4763,1.54718,0.99087,1,0.99485,0.91844,0.49091,0.38817,1.35497,0.0017426,0.0017426,0.0017426
15,413.033,0.69721,0.47195,1.52479,0.99895,1,0.995,0.96792,0.40548,0.34849,1.41857,0.0017228,0.0017228,0.0017228
16,440.647,0.66769,0.46077,1.51589,0.99905,1,0.995,0.95899,0.40665,0.37878,1.32353,0.001703,0.001703,0.001703
17,469.081,0.68005,0.46317,1.50422,0.99967,1,0.995,0.933,0.43496,0.35348,1.2675,0.0016832,0.0016832,0.0016832
18,497.101,0.64126,0.44616,1.43072,0.99967,1,0.995,0.95471,0.38856,0.34849,1.22185,0.0016634,0.0016634,0.0016634
19,524.532,0.62648,0.43073,1.45602,0.99473,1,0.99376,0.94638,0.42405,0.35183,1.30949,0.0016436,0.0016436,0.0016436
20,551.965,0.63788,0.44201,1.45924,0.99985,1,0.995,0.9439,0.41763,0.37043,1.32177,0.0016238,0.0016238,0.0016238
21,579.229,0.63526,0.42081,1.44603,0.99443,1,0.9945,0.93131,0.44686,0.37531,1.19867,0.001604,0.001604,0.001604
22,606.554,0.61329,0.41885,1.40078,0.99974,1,0.995,0.96877,0.36241,0.34155,1.39657,0.0015842,0.0015842,0.0015842
23,633.476,0.59621,0.41459,1.42284,0.98486,1,0.99389,0.93396,0.42808,0.33658,1.22654,0.0015644,0.0015644,0.0015644
24,661.491,0.59495,0.41871,1.43096,0.99435,1,0.9941,0.94535,0.42381,0.34142,1.28561,0.0015446,0.0015446,0.0015446
25,688.761,0.59637,0.41752,1.42204,0.99954,1,0.995,0.95564,0.39274,0.33415,1.20673,0.0015248,0.0015248,0.0015248
26,715.439,0.59674,0.41038,1.41086,0.99436,1,0.99475,0.97476,0.34837,0.89013,1.24479,0.001505,0.001505,0.001505
27,744.024,0.5575,0.39529,1.37708,0.99685,1,0.995,0.96225,0.40474,0.34861,1.19226,0.0014852,0.0014852,0.0014852
28,771.415,0.57043,0.40031,1.37719,0.9997,1,0.995,0.97283,0.38648,0.34867,1.31654,0.0014654,0.0014654,0.0014654
29,798.545,0.56175,0.39797,1.37025,0.99433,1,0.99425,0.98142,0.3366,0.3221,1.18463,0.0014456,0.0014456,0.0014456
30,825.843,0.53991,0.39161,1.37057,1,0.9979,0.995,0.96637,0.34859,0.31307,1.22411,0.0014258,0.0014258,0.0014258
31,853.71,0.5387,0.3843,1.36457,0.99466,1,0.99381,0.97584,0.33708,0.32073,1.16787,0.001406,0.001406,0.001406
32,881.483,0.54271,0.38658,1.36598,0.99958,1,0.995,0.97395,0.37241,0.32423,1.23567,0.0013862,0.0013862,0.0013862
33,909.037,0.5268,0.38009,1.36153,0.99438,1,0.99475,0.98047,0.32962,0.31301,1.1065,0.0013664,0.0013664,0.0013664
34,935.226,0.52845,0.38238,1.33145,0.9895,1,0.9949,0.97426,0.34573,0.35383,1.18174,0.0013466,0.0013466,0.0013466
35,961.091,0.52196,0.37513,1.3345,0.99465,1,0.9947,0.97393,0.33913,0.3227,1.13463,0.0013268,0.0013268,0.0013268
36,987.602,0.50092,0.37132,1.34986,0.9997,1,0.995,0.98306,0.33883,0.30853,1.11315,0.001307,0.001307,0.001307
37,1014.87,0.5066,0.37008,1.31913,1,1,0.995,0.97137,0.38466,0.3337,1.12457,0.0012872,0.0012872,0.0012872
38,1041.52,0.50829,0.36663,1.32903,0.99971,1,0.995,0.98299,0.31088,0.28806,1.14717,0.0012674,0.0012674,0.0012674
39,1068.48,0.49265,0.3587,1.34211,0.9997,1,0.995,0.98246,0.3144,0.28407,1.0986,0.0012476,0.0012476,0.0012476
40,1095.51,0.48112,0.35997,1.2647,0.99974,1,0.995,0.96182,0.37561,0.33759,1.13319,0.0012278,0.0012278,0.0012278
41,1121.77,0.49019,0.3667,1.27961,1,1,0.995,0.98736,0.30746,0.2903,1.08286,0.001208,0.001208,0.001208
42,1148.39,0.49322,0.36248,1.30962,0.99971,1,0.995,0.97942,0.3196,0.29812,1.12983,0.0011882,0.0011882,0.0011882
43,1175.07,0.4797,0.35199,1.28649,0.99972,1,0.995,0.97923,0.32414,0.29268,1.09521,0.0011684,0.0011684,0.0011684
44,1201.64,0.46468,0.34577,1.27541,0.99969,1,0.995,0.98735,0.29437,0.27275,1.10303,0.0011486,0.0011486,0.0011486
45,1227.96,0.46807,0.35116,1.28162,0.98976,1,0.995,0.97696,0.31813,0.30002,1.06891,0.0011288,0.0011288,0.0011288
46,1254.97,0.48127,0.35606,1.28794,1,1,0.995,0.98346,0.30256,0.28583,1.10007,0.001109,0.001109,0.001109
47,1282.46,0.46324,0.34134,1.26693,0.99971,1,0.995,0.98358,0.31177,0.28831,1.09422,0.0010892,0.0010892,0.0010892
48,1308.26,0.4689,0.34653,1.29165,0.99971,1,0.995,0.97268,0.31293,0.28489,1.10483,0.0010694,0.0010694,0.0010694
49,1334.61,0.45497,0.33743,1.27375,0.99976,1,0.995,0.99098,0.27671,0.26415,1.08224,0.0010496,0.0010496,0.0010496
50,1360.31,0.48325,0.34917,1.27905,0.99974,1,0.995,0.98825,0.2774,0.26791,1.06716,0.0010298,0.0010298,0.0010298
51,1386.38,0.46037,0.34738,1.2891,0.99475,1,0.9948,0.98738,0.30628,0.27952,1.07388,0.00101,0.00101,0.00101
52,1413.04,0.44188,0.33225,1.25463,0.99469,1,0.99391,0.9908,0.27494,0.26868,1.07294,0.0009902,0.0009902,0.0009902
53,1440.21,0.44319,0.3315,1.26113,1,1,0.995,0.99213,0.28165,0.28263,1.06524,0.0009704,0.0009704,0.0009704
54,1468.37,0.44642,0.33835,1.29533,0.9977,1,0.995,0.98596,0.29912,0.28319,1.0399,0.0009506,0.0009506,0.0009506
55,1495.53,0.45136,0.33393,1.26425,0.99452,1,0.99381,0.98476,0.26414,0.28401,1.04588,0.0009308,0.0009308,0.0009308
56,1522.95,0.43765,0.33039,1.25443,0.9997,1,0.995,0.98586,0.29411,0.27911,1.07156,0.000911,0.000911,0.000911
57,1550.36,0.43901,0.33867,1.28775,0.99473,1,0.9949,0.9881,0.26976,0.27225,1.07752,0.0008912,0.0008912,0.0008912
58,1576.95,0.42923,0.32755,1.25589,0.99975,1,0.995,0.98925,0.26707,0.26365,1.09472,0.0008714,0.0008714,0.0008714
59,1604.08,0.43197,0.328,1.2572,0.99969,1,0.995,0.99107,0.2714,0.2599,1.04495,0.0008516,0.0008516,0.0008516
60,1631.63,0.42489,0.3209,1.23153,0.99972,1,0.995,0.98103,0.28807,0.27075,1.06068,0.0008318,0.0008318,0.0008318
61,1659.16,0.43037,0.32152,1.25498,1,0.99949,0.995,0.98773,0.26821,0.26014,1.06297,0.000812,0.000812,0.000812
62,1686.54,0.42571,0.3293,1.25336,0.99967,1,0.995,0.98812,0.27195,0.26559,1.05922,0.0007922,0.0007922,0.0007922
63,1714.02,0.41397,0.31354,1.25301,0.99438,1,0.99495,0.98707,0.25551,0.24379,1.04678,0.0007724,0.0007724,0.0007724
64,1740.78,0.40465,0.30935,1.23701,1,1,0.995,0.98718,0.25942,0.24584,1.00194,0.0007526,0.0007526,0.0007526
65,1768.26,0.4261,0.32373,1.23994,0.99973,1,0.995,0.98894,0.27089,0.25681,1.02049,0.0007328,0.0007328,0.0007328
66,1795.69,0.41539,0.30885,1.23262,0.99967,1,0.995,0.99037,0.24723,0.24353,1.05819,0.000713,0.000713,0.000713
67,1822.96,0.40205,0.30764,1.234,0.99962,1,0.995,0.98857,0.27002,0.25255,1.04517,0.0006932,0.0006932,0.0006932
68,1849.92,0.41594,0.31435,1.24793,0.99971,1,0.995,0.98913,0.25898,0.24602,1.0547,0.0006734,0.0006734,0.0006734
69,1877.94,0.40384,0.31047,1.22967,0.99971,1,0.995,0.98984,0.24508,0.24111,1.01588,0.0006536,0.0006536,0.0006536
70,1905.3,0.40403,0.30747,1.23429,0.9997,1,0.995,0.99244,0.24423,0.24045,1.01559,0.0006338,0.0006338,0.0006338
71,1932.86,0.39064,0.30221,1.22976,0.99972,1,0.995,0.99177,0.24831,0.23797,1.02623,0.000614,0.000614,0.000614
72,1960.16,0.40115,0.30406,1.21758,0.99973,1,0.995,0.98872,0.2505,0.2437,1.00551,0.0005942,0.0005942,0.0005942
73,1987.86,0.41035,0.31059,1.23001,0.99974,1,0.995,0.99352,0.23891,0.24063,1.02437,0.0005744,0.0005744,0.0005744
74,2016.46,0.38668,0.29827,1.2215,1,1,0.995,0.99143,0.24283,0.23514,1.01155,0.0005546,0.0005546,0.0005546
75,2044.12,0.38563,0.29284,1.22926,0.99971,1,0.995,0.99086,0.23162,0.23271,1.01739,0.0005348,0.0005348,0.0005348
76,2071.53,0.38217,0.29198,1.20752,1,1,0.995,0.99195,0.23521,0.23093,1.01704,0.000515,0.000515,0.000515
77,2098.75,0.38232,0.29408,1.20287,0.99973,1,0.995,0.99144,0.24153,0.22604,1.02631,0.0004952,0.0004952,0.0004952
78,2124.66,0.37555,0.28884,1.19355,0.99474,1,0.9949,0.98677,0.24779,0.24045,0.99963,0.0004754,0.0004754,0.0004754
79,2151.36,0.37377,0.28747,1.19913,0.99972,1,0.995,0.99232,0.23469,0.23168,1.03287,0.0004556,0.0004556,0.0004556
80,2178.6,0.36376,0.27807,1.19654,1,1,0.995,0.99114,0.23054,0.22855,1.02321,0.0004358,0.0004358,0.0004358
81,2205.25,0.3664,0.28208,1.20852,0.99973,1,0.995,0.99049,0.23081,0.22504,1.01832,0.000416,0.000416,0.000416
82,2232.69,0.37554,0.28978,1.21037,0.99972,1,0.995,0.99354,0.22731,0.22847,0.99803,0.0003962,0.0003962,0.0003962
83,2260.62,0.36764,0.2852,1.21628,1,1,0.995,0.98999,0.2263,0.22845,1.02674,0.0003764,0.0003764,0.0003764
84,2287.16,0.36742,0.28447,1.20403,0.99972,1,0.995,0.99196,0.2398,0.22742,1.06143,0.0003566,0.0003566,0.0003566
85,2314.56,0.36833,0.28547,1.21496,0.99972,1,0.995,0.993,0.2289,0.22719,0.99322,0.0003368,0.0003368,0.0003368
86,2341.94,0.36356,0.2842,1.20879,0.99973,1,0.995,0.9921,0.23843,0.22694,0.99741,0.000317,0.000317,0.000317
87,2368.77,0.35684,0.27903,1.19216,1,1,0.995,0.99088,0.22353,0.23021,0.9856,0.0002972,0.0002972,0.0002972
