epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.0042,1.92531,2.59719,3.18139,0,0,0,0,nan,nan,nan,0.000659091,0.000659091,0.000659091
2,54.4147,1.49738,1.02546,2.47605,0,0,0,0,4.35957,6.21643,25.0892,0.00131263,0.00131263,0.00131263
3,82.4614,1.26236,0.83765,2.21139,0.20337,0.485,0.13361,0.07501,nan,nan,nan,0.00195297,0.00195297,0.00195297
4,110.231,1.0999,0.74444,2.06663,0.20337,0.485,0.13361,0.07501,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,138.483,0.98773,0.64853,1.877,0.98022,0.99094,0.9945,0.85945,0.7049,0.57327,1.98611,0.0019208,0.0019208,0.0019208
6,166.883,0.95144,0.61831,1.83868,0.95869,0.81233,0.92059,0.76968,0.67297,4.49972,1.84773,0.001901,0.001901,0.001901
7,194.187,0.89056,0.57069,1.72883,0.99863,1,0.995,0.87425,0.6527,0.55242,1.72403,0.0018812,0.0018812,0.0018812
8,222.285,0.84984,0.54243,1.66661,0.99501,0.9966,0.995,0.85119,0.70223,0.70637,1.54587,0.0018614,0.0018614,0.0018614
9,249.027,0.82941,0.53796,1.66648,0.9977,1,0.995,0.89221,0.60876,0.47303,1.54568,0.0018416,0.0018416,0.0018416
10,277.438,0.77687,0.51478,1.62157,0.99931,1,0.995,0.89295,0.55348,0.45535,1.80675,0.0018218,0.0018218,0.0018218
11,305.819,0.75224,0.50091,1.58018,0.99956,1,0.995,0.90993,0.57693,0.4132,1.44682,0.001802,0.001802,0.001802
12,333.986,0.72976,0.48432,1.53919,1,0.99947,0.995,0.92463,0.51745,0.41556,1.48807,0.0017822,0.0017822,0.0017822
13,362.178,0.73885,0.48369,1.56256,0.99216,1,0.99495,0.88811,0.56811,0.5286,1.39844,0.0017624,0.0017624,0.0017624
14,389.582,0.73375,0.48483,1.54702,0.99961,1,0.995,0.89753,0.53175,0.43854,1.29218,0.0017426,0.0017426,0.0017426
15,416.648,0.67672,0.46444,1.51934,0.99964,1,0.995,0.92788,0.48685,0.36989,1.36263,0.0017228,0.0017228,0.0017228
16,444.657,0.72747,0.47475,1.55641,0.99965,1,0.995,0.92269,0.47606,0.40427,1.52902,0.001703,0.001703,0.001703
17,469.944,0.67138,0.44628,1.50287,0.99884,1,0.995,0.91735,0.49715,0.4433,1.36956,0.0016832,0.0016832,0.0016832
18,495.605,0.6751,0.45249,1.48858,0.99959,1,0.995,0.93151,0.46602,0.37671,1.30742,0.0016634,0.0016634,0.0016634
19,522.539,0.65887,0.44437,1.47057,1,1,0.995,0.93442,0.46781,0.36083,1.26073,0.0016436,0.0016436,0.0016436
20,548.941,0.62058,0.4233,1.40395,0.20552,1,0.20452,0.18986,0.47127,inf,1.3998,0.0016238,0.0016238,0.0016238
21,575.409,0.64536,0.44069,1.48485,0.98475,1,0.9948,0.94576,0.45388,0.38215,1.25238,0.001604,0.001604,0.001604
22,603.543,0.63237,0.42775,1.42662,0.34901,0.83,0.33287,0.19465,1.39414,45.9062,8.13889,0.0015842,0.0015842,0.0015842
23,629.84,0.62269,0.42587,1.46236,0.99944,1,0.995,0.93546,0.47077,0.37342,1.24925,0.0015644,0.0015644,0.0015644
24,655.845,0.62918,0.42319,1.42709,0.9852,0.99884,0.99408,0.9391,0.42634,0.4464,1.28404,0.0015446,0.0015446,0.0015446
25,682.972,0.58092,0.40782,1.38191,0.99822,1,0.995,0.92971,0.42689,0.33854,1.24898,0.0015248,0.0015248,0.0015248
26,710.06,0.60406,0.41419,1.40904,0.9411,0.97,0.98864,0.92884,0.43599,4.56234,1.3447,0.001505,0.001505,0.001505
27,737.093,0.5848,0.40908,1.37891,0.99472,1,0.995,0.9551,0.41801,0.34915,1.22263,0.0014852,0.0014852,0.0014852
28,764.407,0.60006,0.41551,1.41054,0.99642,1,0.995,0.91612,0.48764,0.44985,1.42285,0.0014654,0.0014654,0.0014654
29,791.079,0.56617,0.40776,1.3618,0.99949,1,0.995,0.9549,0.37001,0.35393,1.23574,0.0014456,0.0014456,0.0014456
30,816.415,0.5815,0.40538,1.38703,0.99969,1,0.995,0.95631,0.42287,0.37892,1.31154,0.0014258,0.0014258,0.0014258
31,841.964,0.5631,0.39361,1.36266,0.9997,1,0.995,0.97015,0.36829,0.32538,1.31049,0.001406,0.001406,0.001406
32,868.083,0.57067,0.39869,1.39437,0.99778,1,0.995,0.96676,0.37226,0.3334,1.18961,0.0013862,0.0013862,0.0013862
33,893.325,0.55154,0.38569,1.37949,0.99912,1,0.995,0.97059,0.39942,0.3566,1.14012,0.0013664,0.0013664,0.0013664
