epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9441,1.84618,2.30814,2.87337,0.84932,0.78915,0.79004,0.41044,1.49482,1.90149,3.73998,0.000659091,0.000659091,0.000659091
2,57.5657,1.47419,1.00647,2.3584,0.84932,0.78915,0.79004,0.41044,nan,nan,nan,0.00131263,0.00131263,0.00131263
3,86.4199,1.3069,0.87446,2.21005,0.86627,0.6154,0.75559,0.53579,1.12375,7.47188,2.59043,0.00195297,0.00195297,0.00195297
4,114.617,1.1611,0.75431,2.02805,0.98905,0.90304,0.96381,0.80664,0.8216,3.34134,1.86073,0.0019406,0.0019406,0.0019406
5,142.405,1.03945,0.65985,1.86738,0.99087,0.995,0.99495,0.79647,0.79437,0.56956,1.82688,0.0019208,0.0019208,0.0019208
6,169.436,0.99704,0.63224,1.8128,1,0.99967,0.995,0.89611,0.58614,0.48762,1.62411,0.001901,0.001901,0.001901
7,197.754,0.8973,0.56886,1.7251,0.98514,0.9944,0.99455,0.86806,0.69068,0.49672,1.62322,0.0018812,0.0018812,0.0018812
8,225.14,0.87225,0.56442,1.67972,0.98964,0.95529,0.96839,0.81069,0.6663,2.70584,1.6119,0.0018614,0.0018614,0.0018614
9,251.056,0.83764,0.53665,1.67749,0.99948,1,0.995,0.90879,0.53598,0.43665,1.51621,0.0018416,0.0018416,0.0018416
10,279.297,0.80588,0.52624,1.5872,0.99252,1,0.99495,0.91355,0.57385,0.4344,1.43207,0.0018218,0.0018218,0.0018218
11,307.217,0.7761,0.51834,1.57695,0.995,0.99529,0.995,0.91636,0.57034,0.41929,1.34469,0.001802,0.001802,0.001802
12,334.24,0.77758,0.50306,1.55796,0.99937,1,0.995,0.92803,0.53148,0.41472,1.41334,0.0017822,0.0017822,0.0017822
13,362.138,0.75294,0.49457,1.53568,0.99963,1,0.995,0.93785,0.47906,0.39181,1.31733,0.0017624,0.0017624,0.0017624
14,388.249,0.72473,0.48402,1.53585,0.99462,0.92411,0.96958,0.90274,0.48622,8.41151,1.36594,0.0017426,0.0017426,0.0017426
15,414.655,0.70583,0.47684,1.5187,0.9996,1,0.995,0.91642,0.46666,0.39008,1.42096,0.0017228,0.0017228,0.0017228
